alias,family,finite_distance,generated_count,method_id,missing_templates,painter_id,status
gpt-image-1,color,0.5948073821162723,64,by_name,[],claude_monet,descriptive_all_available
gpt-image-1,spatial,0.7943690355082103,64,by_name,[],claude_monet,descriptive_all_available
gpt-image-1,texture,1.6772200344842,64,by_name,[],claude_monet,descriptive_all_available
gpt-image-1,color,0.752500521923622,64,by_name,[],alfred_sisley,descriptive_all_available
gpt-image-1,spatial,0.5167665539215607,64,by_name,[],alfred_sisley,descriptive_all_available
gpt-image-1,texture,1.1850752223069283,64,by_name,[],alfred_sisley,descriptive_all_available
gpt-image-1,color,0.9068119045390386,63,by_name,[],camille_pissarro,descriptive_all_available
gpt-image-1,spatial,0.7097651713320818,63,by_name,[],camille_pissarro,descriptive_all_available
gpt-image-1,texture,1.3650226182578415,63,by_name,[],camille_pissarro,descriptive_all_available
gpt-image-1,color,0.7117387172504157,63,by_name,[],paul_cezanne,descriptive_all_available
gpt-image-1,spatial,0.6247394744671944,63,by_name,[],paul_cezanne,descriptive_all_available
gpt-image-1,texture,2.0668419711598487,63,by_name,[],paul_cezanne,descriptive_all_available
gpt-image-1,color,0.8194595346421361,64,style_instruction,[],claude_monet,descriptive_all_available
gpt-image-1,spatial,0.941634045360308,64,style_instruction,[],claude_monet,descriptive_all_available
gpt-image-1,texture,1.7233321921887483,64,style_instruction,[],claude_monet,descriptive_all_available
gpt-image-1,color,0.8762278618095296,64,style_instruction,[],alfred_sisley,descriptive_all_available
gpt-image-1,spatial,0.5817114141535393,64,style_instruction,[],alfred_sisley,descriptive_all_available
gpt-image-1,texture,1.408914688670019,64,style_instruction,[],alfred_sisley,descriptive_all_available
gpt-image-1,color,1.0744942826693404,64,style_instruction,[],camille_pissarro,descriptive_all_available
gpt-image-1,spatial,0.9018986435482246,64,style_instruction,[],camille_pissarro,descriptive_all_available
gpt-image-1,texture,1.6359106797035634,64,style_instruction,[],camille_pissarro,descriptive_all_available
gpt-image-1,color,0.87752373157825,64,style_instruction,[],paul_cezanne,descriptive_all_available
gpt-image-1,spatial,0.7353433759263746,64,style_instruction,[],paul_cezanne,descriptive_all_available
gpt-image-1,texture,2.2360777656585147,64,style_instruction,[],paul_cezanne,descriptive_all_available
gpt-image-1,color,0.9698600827230401,64,style_aspects,[],claude_monet,descriptive_all_available
gpt-image-1,spatial,0.9925509786851023,64,style_aspects,[],claude_monet,descriptive_all_available
gpt-image-1,texture,1.8277656487820566,64,style_aspects,[],claude_monet,descriptive_all_available
gpt-image-1,color,0.8349343985421545,64,style_aspects,[],alfred_sisley,descriptive_all_available
gpt-image-1,spatial,0.6024433534123992,64,style_aspects,[],alfred_sisley,descriptive_all_available
gpt-image-1,texture,1.4641348320749528,64,style_aspects,[],alfred_sisley,descriptive_all_available
gpt-image-1,color,0.8715874293538928,64,style_aspects,[],camille_pissarro,descriptive_all_available
gpt-image-1,spatial,0.8794619831193049,64,style_aspects,[],camille_pissarro,descriptive_all_available
gpt-image-1,texture,1.7123014751885266,64,style_aspects,[],camille_pissarro,descriptive_all_available
gpt-image-1,color,0.7591406956931179,64,style_aspects,[],paul_cezanne,descriptive_all_available
gpt-image-1,spatial,0.6450429992718774,64,style_aspects,[],paul_cezanne,descriptive_all_available
gpt-image-1,texture,2.0313548773085555,64,style_aspects,[],paul_cezanne,descriptive_all_available
gpt-image-2,color,0.5003885222942783,64,by_name,[],claude_monet,descriptive_all_available
gpt-image-2,spatial,0.8220854827202841,64,by_name,[],claude_monet,descriptive_all_available
gpt-image-2,texture,1.64191540372201,64,by_name,[],claude_monet,descriptive_all_available
gpt-image-2,color,0.7529104736001548,64,by_name,[],alfred_sisley,descriptive_all_available
gpt-image-2,spatial,0.5664964262778693,64,by_name,[],alfred_sisley,descriptive_all_available
gpt-image-2,texture,1.3201149763709745,64,by_name,[],alfred_sisley,descriptive_all_available
gpt-image-2,color,1.009620987710993,64,by_name,[],camille_pissarro,descriptive_all_available
gpt-image-2,spatial,0.7653347704961937,64,by_name,[],camille_pissarro,descriptive_all_available
gpt-image-2,texture,1.337881042027715,64,by_name,[],camille_pissarro,descriptive_all_available
gpt-image-2,color,0.8232198333655629,64,by_name,[],paul_cezanne,descriptive_all_available
gpt-image-2,spatial,0.634113503073451,64,by_name,[],paul_cezanne,descriptive_all_available
gpt-image-2,texture,2.119113419741494,64,by_name,[],paul_cezanne,descriptive_all_available
gpt-image-2,color,0.8584413967134195,64,style_instruction,[],claude_monet,descriptive_all_available
gpt-image-2,spatial,1.0235893715638826,64,style_instruction,[],claude_monet,descriptive_all_available
gpt-image-2,texture,1.8576340639759588,64,style_instruction,[],claude_monet,descriptive_all_available
gpt-image-2,color,0.7951407647818971,64,style_instruction,[],alfred_sisley,descriptive_all_available
gpt-image-2,spatial,0.666875113973528,64,style_instruction,[],alfred_sisley,descriptive_all_available
gpt-image-2,texture,1.4363120458929048,64,style_instruction,[],alfred_sisley,descriptive_all_available
gpt-image-2,color,1.0404016282447142,64,style_instruction,[],camille_pissarro,descriptive_all_available
gpt-image-2,spatial,0.8961626952765207,64,style_instruction,[],camille_pissarro,descriptive_all_available
gpt-image-2,texture,1.6312055876515048,64,style_instruction,[],camille_pissarro,descriptive_all_available
gpt-image-2,color,0.831955477264374,64,style_instruction,[],paul_cezanne,descriptive_all_available
