allocated,arm,available,mean,polarity,template_id,values
4,free,4,0.1066933881778764,muted,built_houses,"[0.20305905611320632, 0.20552962133389888, -0.018326465889262962, 0.036511341153663314]"
4,free,4,3.5710204675029122,vivid,built_houses,"[3.4962350507758204, 3.805352137369989, 3.5815978546752247, 3.4008968271906146]"
4,generic,4,0.3274570284941807,muted,built_houses,"[0.34792804431624613, 0.6064934190292528, 0.2817724312726184, 0.07363421935860527]"
4,generic,4,2.669935124527062,vivid,built_houses,"[2.543809733483363, 2.736261700329945, 2.5629662110503073, 2.8367028532446334]"
4,monet,4,-0.5091454235310559,muted,built_houses,"[-0.6087054919134074, -0.36664120323843286, -0.5129023000519509, -0.5483326989204321]"
4,monet,4,1.5454901514384107,vivid,built_houses,"[2.069919135011563, 1.1030353698681028, 1.1873764789714594, 1.8216296219025174]"
4,cezanne,4,-0.21464056001565496,muted,built_houses,"[-0.15093822931736373, -0.3972045025959099, -0.09548277912115614, -0.21493672902819005]"
4,cezanne,4,2.4559671252110897,vivid,built_houses,"[2.80442502027542, 2.1832010192705167, 2.6064203903279495, 2.2298220709704726]"
4,free,4,-0.1500392476612503,muted,built_village,"[-0.14963858042835576, -0.3496172989476888, 0.007419551796336069, -0.10832066306529269]"
4,free,4,2.9598158237843326,vivid,built_village,"[3.0121668239736548, 2.7337168738677855, 3.315882099972169, 2.7774974973237208]"
4,generic,4,0.033281365977022706,muted,built_village,"[-0.08240010449957019, 0.06024036080314425, 0.21836122999062335, -0.0630760223861066]"
4,generic,4,2.3425467599268277,vivid,built_village,"[2.3260678917250464, 2.1191398296512443, 2.8454328023536615, 2.07954651597736]"
4,monet,4,-0.6387525855548984,muted,built_village,"[-0.5503441098255958, -0.5888263464719213, -0.7872810913157963, -0.6285587946062804]"
4,monet,4,1.4892499643467012,vivid,built_village,"[2.040713728961971, 1.1822658698324073, 1.2442752105083956, 1.4897450480840313]"
4,cezanne,4,-0.205399430527681,muted,built_village,"[-0.02850280617140316, -0.18018019155297668, -0.2768841706926838, -0.33603055369366036]"
4,cezanne,4,2.323343348426142,vivid,built_village,"[2.6333296541329028, 2.1017512490933075, 2.174620391602395, 2.3836720988759637]"
4,free,4,0.15085689220677062,muted,land_fields,"[0.21574941516030924, 0.14382070085963233, 0.18641982489215952, 0.0574376279149813]"
4,free,4,4.801119740431965,vivid,land_fields,"[4.301134828933615, 5.211293645277769, 5.261165869429928, 4.430884618086548]"
4,generic,4,0.2591409420169712,muted,land_fields,"[0.08944572216662629, 0.584350456680049, 0.584350456680049, -0.22158286745883957]"
4,generic,4,4.123630132699841,vivid,land_fields,"[4.60661243619623, 3.6170180774182557, 4.263549887545963, 4.007340129638913]"
4,monet,4,-0.6835898558449386,muted,land_fields,"[-0.8522484697971434, -0.7279421599994115, -0.6936202866087784, -0.46054850697442123]"
4,monet,4,2.402676935431088,vivid,land_fields,"[2.5121212270211433, 2.1459395841976354, 2.5604107178470232, 2.3922362126585504]"
4,cezanne,4,-0.024751952007372784,muted,land_fields,"[-0.07911536208452895, -0.25938507056070137, 0.06694876540382014, 0.1725438592119191]"
4,cezanne,4,3.595769793960791,vivid,land_fields,"[3.873354366266058, 3.606557623722383, 3.9536860941465215, 2.949481091708202]"
4,free,4,-0.15580819814137375,muted,land_garden,"[-0.258081389868652, -0.18779867231553854, 0.03454277253991657, -0.21189550292122106]"
4,free,4,2.781562874309414,vivid,land_garden,"[2.844279953090031, 2.638712727844793, 2.7041562817544635, 2.9391025345483666]"
