class_counts.built,class_counts.land,class_counts.water,painter_id,pipeline,status,summary.maximum,summary.minimum,summary.n,summary.quantiles_10_50_90,summary.weighted_mean,weighting
4,13,21,claude_monet,primary512,descriptive,3.902774869043784,-1.0435207864283247,38,"[-0.5238665485852992, 0.060827080907058864, 1.590527614257876]",0.3690173243573926,empirical_reference_mixture
4,13,21,claude_monet,primary512,descriptive,3.902774869043784,-1.0435207864283247,38,"[-0.5270786622700838, -0.07951952468687644, 1.467702153302315]",0.3320008983338266,equal_broad_class
11,18,3,paul_cezanne,primary512,descriptive,3.7663365678367926,-0.5478405016809876,32,"[0.005576627190735675, 0.6628010929288864, 1.7223153139200926]",0.8120773750190717,empirical_reference_mixture
11,18,3,paul_cezanne,primary512,descriptive,3.7663365678367926,-0.5478405016809876,32,"[0.005576627190735675, 0.6000343976518671, 1.4062470144759316]",0.7021740949714229,equal_broad_class
4,13,21,claude_monet,resolution256,descriptive,3.900053238228134,-1.0413706504460878,38,"[-0.5261401839931757, 0.04890936402290826, 1.5941143586377902]",0.3672331342827283,empirical_reference_mixture
4,13,21,claude_monet,resolution256,descriptive,3.900053238228134,-1.0413706504460878,38,"[-0.5276240865849082, -0.07724825971794679, 1.4673236796175178]",0.3308402659620793,equal_broad_class
11,18,3,paul_cezanne,resolution256,descriptive,3.758656606586061,-0.5472363750811557,32,"[0.0051975116691004766, 0.6602237929369364, 1.71728305518284]",0.8088255187541717,empirical_reference_mixture
11,18,3,paul_cezanne,resolution256,descriptive,3.758656606586061,-0.5472363750811557,32,"[0.0051975116691004766, 0.6039571503497497, 1.3890862554531473]",0.702168172935451,equal_broad_class
4,13,21,claude_monet,jpeg90_512,descriptive,3.8998619780543198,-1.051814876112938,38,"[-0.5310182559820995, 0.04088131097079019, 1.587816578263035]",0.35024192741954185,empirical_reference_mixture
4,13,21,claude_monet,jpeg90_512,descriptive,3.8998619780543198,-1.051814876112938,38,"[-0.5310182559820995, -0.09387189252646867, 1.4704196707567256]",0.31457521996868515,equal_broad_class
11,18,3,paul_cezanne,jpeg90_512,descriptive,3.730443146694696,-0.5529489337558263,32,"[-0.0007572102657073828, 0.6353157856730587, 1.713351778247737]",0.7928102672286703,empirical_reference_mixture
11,18,3,paul_cezanne,jpeg90_512,descriptive,3.730443146694696,-0.5529489337558263,32,"[-0.0007572102657073828, 0.6080188166014519, 1.3290990102854983]",0.6821694652139922,equal_broad_class
