attempt_count,attempts,known_cost_usd,observed.format,observed.height,observed.image_bytes,observed.image_sha256,observed.minimum_512,observed.mode,observed.reported.background,observed.reported.model,observed.reported.output_format,observed.reported.quality,observed.reported.size,observed.square_1024,observed.width,pending_attempts,request_id,response_path,response_sha256,selected_attempt,selected_terminal_event_sha256,sequence,status,stored_response_sha256,unknown_cost
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""9ec137ffa8f81c334bc5e58309294a44b00fcd3991cf24dbcc86760853c475d8"", ""status"": ""image_returned""}]",0.0,PNG,1134,3351287,b7eb49bd1e7140dde6d799613d20408be86eb8be2bd538796db4e36c0819a2f0,True,RGB,opaque,,png,low,1387x1134,False,1387,[],prv2:built_houses:r01:free:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0000-a1.json.gz,8f4f9f0e4387320933df99531f4a9b78e57a88d7b749913dea84261a0ff624d7,1,9ec137ffa8f81c334bc5e58309294a44b00fcd3991cf24dbcc86760853c475d8,0,image_returned,e14204e20c8a6c001e32326f1531db42db53e566d4f73eb15b3ae9e9f6957f97,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""d5b5607fea8ceaea17e557b0828cc67c7455d7b7380719a9bc0ce66b0fc516f5"", ""status"": ""image_returned""}]",0.0,PNG,1122,3155004,8c26a386ca3945ec7ff5fa6dab12bd8f6e30351a5d93ce676053a5a4e0da4f71,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:built_houses:r01:generic:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0001-a1.json.gz,741c6f1d8c0706edaa0802b413b21bcbf2ed2615cb9de6d3eb55f10782f57c89,1,d5b5607fea8ceaea17e557b0828cc67c7455d7b7380719a9bc0ce66b0fc516f5,1,image_returned,03a9f9546aadf66a5e5468cdf8310e2c4fc9030434d8fc5e61161c632b62b47b,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""b706262e733a25c2e9a3a20c2a381b7e3ee6cfb64bffe45ac3e1a8951d022b92"", ""status"": ""image_returned""}]",0.0,PNG,1129,3204636,5f64970cda71427c407f8f6381d5a07af64518bfacab1fa3cc75ee937789930a,True,RGB,opaque,,png,low,1393x1129,False,1393,[],prv2:built_houses:r01:monet:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0002-a1.json.gz,eaaddf030d3e2ce25862d7522d316388e48f9054ccd26a448a9772fc8bce09a1,1,b706262e733a25c2e9a3a20c2a381b7e3ee6cfb64bffe45ac3e1a8951d022b92,2,image_returned,cf72c0c08a829bc0c2d119e78b840e3f6fbd71bf0beff7bb9b18dea9e4954f6f,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""669c23d41ca662bd0c74bc3447188b492c099dcca9c596b1f575370e013dbd88"", ""status"": ""image_returned""}]",0.0,PNG,1163,2660187,abfc695ae524249a3c5668a919042c57ed247f1d9b77594b1d07910d3697e3e1,True,RGB,opaque,,png,low,1353x1163,False,1353,[],prv2:built_houses:r01:free:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0003-a1.json.gz,dc7c0cf65d330fa5b790af2c8516110279078c9736807a245e8262a0edf65f1b,1,669c23d41ca662bd0c74bc3447188b492c099dcca9c596b1f575370e013dbd88,3,image_returned,f86cd5cc2673a10796570cf6153438332882c1c7e54bc3ca48e79d4c9ff92264,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""a92e8c36ce20ae15fdd6967734f35bcb5801628574414d3ce329b99fd2404299"", ""status"": ""image_returned""}]",0.0,PNG,1122,2801050,dd4e1fb07c507466bd067fb901fa7251cec82b1977633eb48350f84daec1df3e,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:built_houses:r01:cezanne:vivid,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0004-a1.json.gz,4bd3d09f5b4cb8538f19e07ddb8c01ad06ca9ad21598cc419570b1a1e3db66e4,1,a92e8c36ce20ae15fdd6967734f35bcb5801628574414d3ce329b99fd2404299,4,image_returned,43fa9b1238f8fa6aaecc5d45b60a271be0dbca69a20772dd984e0b3eff5cce7a,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""f2ce15a451aeba0b7e3826b573cb4755abb8774f84c221323fe5407f5b0cbee5"", ""status"": ""image_returned""}]",0.0,PNG,1128,2422197,5a5a0cd9cc747c9842bd72f4b5bd77e3ae9b57044d219b53885a9df8041f6968,True,RGB,opaque,,png,low,1394x1128,False,1394,[],prv2:built_houses:r01:cezanne:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0005-a1.json.gz,5a4228467e5e1da3c2decc684416076775b79cd0198044d0d761824587d131d0,1,f2ce15a451aeba0b7e3826b573cb4755abb8774f84c221323fe5407f5b0cbee5,5,image_returned,4a0a2cb76b60eff95cf8f27495c2add0989e08ea1d1442089b1a98c1686ad228,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""3baffaf2b98dda8bb630703a8df89380f4885c0949bb0fc1d42e02186bdbf538"", ""status"": ""image_returned""}]",0.0,PNG,1143,2466911,ee74a6f7325a0d8a348a1a896e234a80de5a85e289ca63c6f035426beb268415,True,RGB,opaque,,png,low,1376x1143,False,1376,[],prv2:built_houses:r01:generic:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0006-a1.json.gz,32bd0b5598c7edf53f1f63e4268943497d7b749f8c3c172e233b77910f4a28ea,1,3baffaf2b98dda8bb630703a8df89380f4885c0949bb0fc1d42e02186bdbf538,6,image_returned,0d4e5e57814e5c3d1f55bee3c2b6d11d743205198f2d44342e8de7c28162ee14,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""dc133b6340b777407c09e887e8beaa9b9330aa05885acddf40dcf2b81ee89252"", ""status"": ""image_returned""}]",0.0,PNG,1121,2692199,0c28a62db72ce7bf8e3670f6e09cbec6ce2a4b37b8d1a0b63da610695ca3bfd3,True,RGB,opaque,,png,low,1403x1121,False,1403,[],prv2:built_houses:r01:monet:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0007-a1.json.gz,e2c1d53b43e527cfd3c98061c855394e1e31c632598a1c21d73a35fa67d404fb,1,dc133b6340b777407c09e887e8beaa9b9330aa05885acddf40dcf2b81ee89252,7,image_returned,fc540595a74fed5969ca8e053b679012cf65721c0e52a0e413414824b0fca972,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""85443048dc9456af98ff8037d989ebe56c8139d19cb657dff9d5c009ac1fc385"", ""status"": ""image_returned""}]",0.0,PNG,1110,2485858,d62ced6e0f0ed8e71d4d0935e220d6b1c0dc10846a4a52404a597158a477641c,True,RGB,opaque,,png,low,1417x1110,False,1417,[],prv2:land_fields:r02:generic:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0008-a1.json.gz,6f0aa9d10d0aa8c25ef8563c4a5c6922602c727096a22540c07734eaaa5b997a,1,85443048dc9456af98ff8037d989ebe56c8139d19cb657dff9d5c009ac1fc385,8,image_returned,225003af0e1cf550a2241a34cbec9064429c8cd4ef1962a4576d61042a12e0f5,False
1,"[{""attempt"": 1, ""cost_usd"": 0.0, ""event_sha256"": ""ba627506f3ba0ab7b8605f72d7856a1a92eb34e9e340954c30aba3400505bf41"", ""status"": ""image_returned""}]",0.0,PNG,1122,2312199,882cb468a0739f379ad6abd8ffd37b6443dc6e2680c82dd87a0111282212ff08,True,RGB,opaque,,png,low,1402x1122,False,1402,[],prv2:land_fields:r02:cezanne:muted,research_workspace/painter_responsiveness_v2/prv2-oauth-recovery-20260908/responses/0009-a1.json.gz,115247fce7d59d965a8bcb99f7aed704d651fb90c9cfe611f962f46b436da42f,1,ba627506f3ba0ab7b8605f72d7856a1a92eb34e9e340954c30aba3400505bf41,9,image_returned,f5ec8eee195e6ce320f726cd2a4fbd813ecec4618340345073834a04e443656d,False
