attempt,complete,latency_seconds,observed.format,observed.height,observed.image_bytes,observed.image_sha256,observed.minimum_512,observed.mode,observed.reported.background,observed.reported.model,observed.reported.output_format,observed.reported.quality,observed.reported.size,observed.square_1024,observed.width,post_started,request_id,slot_sequence,status,status_code,transport_started_monotonic
1,True,26.99269283306785,PNG,1134,3351287,b7eb49bd1e7140dde6d799613d20408be86eb8be2bd538796db4e36c0819a2f0,True,RGB,opaque,,png,low,1387x1134,False,1387,True,prv2:built_houses:r01:free:vivid,0,image_returned,200,730535.68947275
1,True,27.171677667065524,PNG,1122,3155004,8c26a386ca3945ec7ff5fa6dab12bd8f6e30351a5d93ce676053a5a4e0da4f71,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r01:generic:vivid,1,image_returned,200,730540.945588041
1,True,25.333961082971655,PNG,1129,3204636,5f64970cda71427c407f8f6381d5a07af64518bfacab1fa3cc75ee937789930a,True,RGB,opaque,,png,low,1393x1129,False,1393,True,prv2:built_houses:r01:monet:vivid,2,image_returned,200,730562.897810583
1,True,24.580316124949604,PNG,1163,2660187,abfc695ae524249a3c5668a919042c57ed247f1d9b77594b1d07910d3697e3e1,True,RGB,opaque,,png,low,1353x1163,False,1353,True,prv2:built_houses:r01:free:muted,3,image_returned,200,730568.33229025
1,True,27.953329875017516,PNG,1122,2801050,dd4e1fb07c507466bd067fb901fa7251cec82b1977633eb48350f84daec1df3e,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:built_houses:r01:cezanne:vivid,4,image_returned,200,730588.447180416
1,True,26.53367387491744,PNG,1128,2422197,5a5a0cd9cc747c9842bd72f4b5bd77e3ae9b57044d219b53885a9df8041f6968,True,RGB,opaque,,png,low,1394x1128,False,1394,True,prv2:built_houses:r01:cezanne:muted,5,image_returned,200,730593.702890416
1,True,32.63429158309009,PNG,1143,2466911,ee74a6f7325a0d8a348a1a896e234a80de5a85e289ca63c6f035426beb268415,True,RGB,opaque,,png,low,1376x1143,False,1376,True,prv2:built_houses:r01:generic:muted,6,image_returned,200,730616.628644208
1,True,30.605884124990553,PNG,1121,2692199,0c28a62db72ce7bf8e3670f6e09cbec6ce2a4b37b8d1a0b63da610695ca3bfd3,True,RGB,opaque,,png,low,1403x1121,False,1403,True,prv2:built_houses:r01:monet:muted,7,image_returned,200,730621.867367666
1,True,24.473839916987345,PNG,1110,2485858,d62ced6e0f0ed8e71d4d0935e220d6b1c0dc10846a4a52404a597158a477641c,True,RGB,opaque,,png,low,1417x1110,False,1417,True,prv2:land_fields:r02:generic:muted,8,image_returned,200,730652.706183041
1,True,23.792906417045742,PNG,1122,2312199,882cb468a0739f379ad6abd8ffd37b6443dc6e2680c82dd87a0111282212ff08,True,RGB,opaque,,png,low,1402x1122,False,1402,True,prv2:land_fields:r02:cezanne:muted,9,image_returned,200,730657.950716166
1,True,25.276442375034094,PNG,1120,2867803,cf9a7c24300823faa2391ddc4c619e4f7eae9bd4b87b580dabdab046732b1f9a,True,RGB,opaque,,png,low,1404x1120,False,1404,True,prv2:land_fields:r02:cezanne:vivid,10,image_returned,200,730677.405362
