arm,content_class,pipeline,polarity,repetition,request_id,status,template_id,value
free,built,primary512,vivid,1,prv2:built_houses:r01:free:vivid,measured,built_houses,3.805352137369989
free,built,resolution256,vivid,1,prv2:built_houses:r01:free:vivid,measured,built_houses,3.782717287246512
free,built,jpeg90_512,vivid,1,prv2:built_houses:r01:free:vivid,measured,built_houses,3.6612335085810352
generic,built,primary512,vivid,1,prv2:built_houses:r01:generic:vivid,measured,built_houses,2.736261700329945
generic,built,resolution256,vivid,1,prv2:built_houses:r01:generic:vivid,measured,built_houses,2.7372329181095663
generic,built,jpeg90_512,vivid,1,prv2:built_houses:r01:generic:vivid,measured,built_houses,2.638753664974194
monet,built,primary512,vivid,1,prv2:built_houses:r01:monet:vivid,measured,built_houses,1.1030353698681028
monet,built,resolution256,vivid,1,prv2:built_houses:r01:monet:vivid,measured,built_houses,1.0874958856123
monet,built,jpeg90_512,vivid,1,prv2:built_houses:r01:monet:vivid,measured,built_houses,1.0243303682119567
free,built,primary512,muted,1,prv2:built_houses:r01:free:muted,measured,built_houses,0.20552962133389888
free,built,resolution256,muted,1,prv2:built_houses:r01:free:muted,measured,built_houses,0.20552962133389888
free,built,jpeg90_512,muted,1,prv2:built_houses:r01:free:muted,measured,built_houses,0.19746249959647488
cezanne,built,primary512,vivid,1,prv2:built_houses:r01:cezanne:vivid,measured,built_houses,2.1832010192705167
cezanne,built,resolution256,vivid,1,prv2:built_houses:r01:cezanne:vivid,measured,built_houses,2.160397580808006
cezanne,built,jpeg90_512,vivid,1,prv2:built_houses:r01:cezanne:vivid,measured,built_houses,2.08872462828245
cezanne,built,primary512,muted,1,prv2:built_houses:r01:cezanne:muted,measured,built_houses,-0.3972045025959099
cezanne,built,resolution256,muted,1,prv2:built_houses:r01:cezanne:muted,measured,built_houses,-0.3997144611461502
cezanne,built,jpeg90_512,muted,1,prv2:built_houses:r01:cezanne:muted,measured,built_houses,-0.4125513921767107
generic,built,primary512,muted,1,prv2:built_houses:r01:generic:muted,measured,built_houses,0.6064934190292528
generic,built,resolution256,muted,1,prv2:built_houses:r01:generic:muted,measured,built_houses,0.6040573488137757
generic,built,jpeg90_512,muted,1,prv2:built_houses:r01:generic:muted,measured,built_houses,0.6096056109139927
monet,built,primary512,muted,1,prv2:built_houses:r01:monet:muted,measured,built_houses,-0.36664120323843286
monet,built,resolution256,muted,1,prv2:built_houses:r01:monet:muted,measured,built_houses,-0.36302099931768395
monet,built,jpeg90_512,muted,1,prv2:built_houses:r01:monet:muted,measured,built_houses,-0.35342009723172924
generic,land,primary512,muted,2,prv2:land_fields:r02:generic:muted,measured,land_fields,0.584350456680049
generic,land,resolution256,muted,2,prv2:land_fields:r02:generic:muted,measured,land_fields,0.5815800745048516
generic,land,jpeg90_512,muted,2,prv2:land_fields:r02:generic:muted,measured,land_fields,0.6013145554292502
cezanne,land,primary512,muted,2,prv2:land_fields:r02:cezanne:muted,measured,land_fields,0.06694876540382014
cezanne,land,resolution256,muted,2,prv2:land_fields:r02:cezanne:muted,measured,land_fields,0.07241101229861807
cezanne,land,jpeg90_512,muted,2,prv2:land_fields:r02:cezanne:muted,measured,land_fields,0.07066668888719288
cezanne,land,primary512,vivid,2,prv2:land_fields:r02:cezanne:vivid,measured,land_fields,3.9536860941465215
cezanne,land,resolution256,vivid,2,prv2:land_fields:r02:cezanne:vivid,measured,land_fields,3.9341180117901984
cezanne,land,jpeg90_512,vivid,2,prv2:land_fields:r02:cezanne:vivid,measured,land_fields,3.8696473432552994
monet,land,primary512,vivid,2,prv2:land_fields:r02:monet:vivid,measured,land_fields,2.5604107178470232
monet,land,resolution256,vivid,2,prv2:land_fields:r02:monet:vivid,measured,land_fields,2.5422856791944954
monet,land,jpeg90_512,vivid,2,prv2:land_fields:r02:monet:vivid,measured,land_fields,2.410235231052873
generic,land,primary512,vivid,2,prv2:land_fields:r02:generic:vivid,measured,land_fields,4.263549887545963
generic,land,resolution256,vivid,2,prv2:land_fields:r02:generic:vivid,measured,land_fields,4.261323350923835
generic,land,jpeg90_512,vivid,2,prv2:land_fields:r02:generic:vivid,measured,land_fields,4.193454999016446
free,land,primary512,muted,2,prv2:land_fields:r02:free:muted,measured,land_fields,0.18641982489215952
free,land,resolution256,muted,2,prv2:land_fields:r02:free:muted,measured,land_fields,0.185196263396372
free,land,jpeg90_512,muted,2,prv2:land_fields:r02:free:muted,measured,land_fields,0.2161614567856821
monet,land,primary512,muted,2,prv2:land_fields:r02:monet:muted,measured,land_fields,-0.6936202866087784
monet,land,resolution256,muted,2,prv2:land_fields:r02:monet:muted,measured,land_fields,-0.6971299905170395
monet,land,jpeg90_512,muted,2,prv2:land_fields:r02:monet:muted,measured,land_fields,-0.6820139668237688
free,land,primary512,vivid,2,prv2:land_fields:r02:free:vivid,measured,land_fields,5.261165869429928
free,land,resolution256,vivid,2,prv2:land_fields:r02:free:vivid,measured,land_fields,5.234699211156582
free,land,jpeg90_512,vivid,2,prv2:land_fields:r02:free:vivid,measured,land_fields,5.04730132566073
monet,water,primary512,vivid,1,prv2:water_bend:r01:monet:vivid,measured,water_bend,1.6007481548215887
monet,water,resolution256,vivid,1,prv2:water_bend:r01:monet:vivid,measured,water_bend,1.5720508432724942
monet,water,jpeg90_512,vivid,1,prv2:water_bend:r01:monet:vivid,measured,water_bend,1.4865065144894942
generic,water,primary512,vivid,1,prv2:water_bend:r01:generic:vivid,measured,water_bend,3.469681156580667
generic,water,resolution256,vivid,1,prv2:water_bend:r01:generic:vivid,measured,water_bend,3.439436843126805
generic,water,jpeg90_512,vivid,1,prv2:water_bend:r01:generic:vivid,measured,water_bend,3.3544919020452375
free,water,primary512,vivid,1,prv2:water_bend:r01:free:vivid,measured,water_bend,3.181438241944075
free,water,resolution256,vivid,1,prv2:water_bend:r01:free:vivid,measured,water_bend,3.1819047722829414
free,water,jpeg90_512,vivid,1,prv2:water_bend:r01:free:vivid,measured,water_bend,3.079193098645272
cezanne,water,primary512,muted,1,prv2:water_bend:r01:cezanne:muted,measured,water_bend,-0.665512282333928
cezanne,water,resolution256,muted,1,prv2:water_bend:r01:cezanne:muted,measured,water_bend,-0.6698511292431842
cezanne,water,jpeg90_512,muted,1,prv2:water_bend:r01:cezanne:muted,measured,water_bend,-0.6707278557837544
cezanne,water,primary512,vivid,1,prv2:water_bend:r01:cezanne:vivid,measured,water_bend,1.919142564985249
cezanne,water,resolution256,vivid,1,prv2:water_bend:r01:cezanne:vivid,measured,water_bend,1.8962746314351073
cezanne,water,jpeg90_512,vivid,1,prv2:water_bend:r01:cezanne:vivid,measured,water_bend,1.8504415878220672
monet,water,primary512,muted,1,prv2:water_bend:r01:monet:muted,measured,water_bend,-0.9818134988478346
