service,condition,painter_id,family,distance,reference_count,generated_count
gpt-image-1,claude_monet,claude_monet,color,0.6827168361990072,297,16
gpt-image-1,claude_monet,alfred_sisley,color,0.8004926802145131,106,16
gpt-image-1,claude_monet,camille_pissarro,color,0.8725880123720959,141,16
gpt-image-1,claude_monet,paul_cezanne,color,1.877715000417462,105,16
gpt-image-1,alfred_sisley,claude_monet,color,0.8693387327405395,297,16
gpt-image-1,alfred_sisley,alfred_sisley,color,0.7926946491293314,106,16
gpt-image-1,alfred_sisley,camille_pissarro,color,0.8944664360934438,141,16
gpt-image-1,alfred_sisley,paul_cezanne,color,2.2730048929368323,105,16
gpt-image-1,camille_pissarro,claude_monet,color,1.703794602191588,297,16
gpt-image-1,camille_pissarro,alfred_sisley,color,1.5835939462409456,106,16
gpt-image-1,camille_pissarro,camille_pissarro,color,1.1260827743153343,141,16
gpt-image-1,camille_pissarro,paul_cezanne,color,2.432886793447104,105,16
gpt-image-1,paul_cezanne,claude_monet,color,0.8036615655308335,297,16
gpt-image-1,paul_cezanne,alfred_sisley,color,0.956745914998882,106,16
gpt-image-1,paul_cezanne,camille_pissarro,color,1.0319325060597435,141,16
gpt-image-1,paul_cezanne,paul_cezanne,color,0.6905282978213563,105,16
gpt-image-1,artist_free,claude_monet,color,1.4732102029801946,297,16
gpt-image-1,artist_free,alfred_sisley,color,1.3573219240013745,106,16
gpt-image-1,artist_free,camille_pissarro,color,1.3181851635720003,141,16
gpt-image-1,artist_free,paul_cezanne,color,0.7513646238519496,105,16
gpt-image-1,claude_monet,claude_monet,spatial,0.8434410943788508,297,16
gpt-image-1,claude_monet,alfred_sisley,spatial,0.7677828100411377,106,16
gpt-image-1,claude_monet,camille_pissarro,spatial,0.7315483298483687,141,16
gpt-image-1,claude_monet,paul_cezanne,spatial,1.6341923220932988,105,16
gpt-image-1,alfred_sisley,claude_monet,spatial,0.7889662400775901,297,16
gpt-image-1,alfred_sisley,alfred_sisley,spatial,0.8203636219188306,106,16
gpt-image-1,alfred_sisley,camille_pissarro,spatial,1.0678378401405255,141,16
gpt-image-1,alfred_sisley,paul_cezanne,spatial,1.6096061278731244,105,16
gpt-image-1,camille_pissarro,claude_monet,spatial,1.0203666299905945,297,16
