service,painter_id,family,target_distance,artist_free_distance,control_difference,nearest_other_painter,nearest_other_distance,specificity_margin
gpt-image-1,claude_monet,color,0.6827168361990072,1.4732102029801946,-0.7904933667811873,alfred_sisley,0.8004926802145131,-0.11777584401550589
gpt-image-1,alfred_sisley,color,0.7926946491293314,1.3573219240013745,-0.5646272748720431,claude_monet,0.8693387327405395,-0.07664408361120811
gpt-image-1,camille_pissarro,color,1.1260827743153343,1.3181851635720003,-0.192102389256666,alfred_sisley,1.5835939462409456,-0.4575111719256113
gpt-image-1,paul_cezanne,color,0.6905282978213563,0.7513646238519496,-0.0608363260305933,claude_monet,0.8036615655308335,-0.11313326770947718
gpt-image-1,claude_monet,spatial,0.8434410943788508,0.32301098851573595,0.5204301058631149,camille_pissarro,0.7315483298483687,0.11189276453048214
gpt-image-1,alfred_sisley,spatial,0.8203636219188306,0.4734000341422657,0.3469635877765649,claude_monet,0.7889662400775901,0.031397381841240524
gpt-image-1,camille_pissarro,spatial,0.8720977457890964,0.800964196710201,0.07113354907889535,alfred_sisley,0.9604499589211213,-0.0883522131320249
gpt-image-1,paul_cezanne,spatial,0.7154909491756665,0.8770952684990054,-0.16160431932333896,claude_monet,1.0642146120346396,-0.34872366285897316
gpt-image-1,claude_monet,texture,1.5799868752654487,1.480104477106944,0.09988239815850464,alfred_sisley,1.3040287979529805,0.27595807731246813
gpt-image-1,alfred_sisley,texture,1.1942413669821774,1.7931901251673872,-0.5989487581852098,claude_monet,1.483372497283642,-0.28913113030146453
gpt-image-1,camille_pissarro,texture,1.27075918919008,1.4993995683470396,-0.22864037915695956,alfred_sisley,1.3298668101895195,-0.05910762099943945
gpt-image-1,paul_cezanne,texture,2.2038506153940087,1.7468127203385766,0.45703789505543213,claude_monet,1.8639828064819761,0.3398678089120326
gpt-image-2,claude_monet,color,0.5467621235811126,1.309835276693994,-0.7630731531128814,alfred_sisley,0.6983542817729753,-0.15159215819186267
gpt-image-2,alfred_sisley,color,0.7812259023285333,1.2212813111435992,-0.4400554088150659,camille_pissarro,0.8354291944625993,-0.05420329213406605
gpt-image-2,camille_pissarro,color,1.0747853521746351,1.1741027160947168,-0.09931736392008172,alfred_sisley,1.514872595889897,-0.44008724371526187
gpt-image-2,paul_cezanne,color,0.7285321189395972,0.6213218276183485,0.10721029132124871,claude_monet,0.8550835797684737,-0.12655146082887647
gpt-image-2,claude_monet,spatial,0.7871868661854391,0.33587901058804004,0.45130785559739905,alfred_sisley,0.7563701421585369,0.030816724026902165
gpt-image-2,alfred_sisley,spatial,0.5759998675381701,0.5083970027402076,0.06760286479796251,claude_monet,0.5869990835769863,-0.01099921603881615
gpt-image-2,camille_pissarro,spatial,0.6399674074274149,0.8545331254100144,-0.2145657179825995,alfred_sisley,0.6947449264890593,-0.05477751906164441
gpt-image-2,paul_cezanne,spatial,0.7128906832875541,0.8654909389102463,-0.1526002556226922,claude_monet,1.1904851850800446,-0.4775945017924905
gpt-image-2,claude_monet,texture,1.7032978247505335,1.470785472325379,0.23251235242515444,alfred_sisley,1.494172389502227,0.2091254352483065
gpt-image-2,alfred_sisley,texture,1.2012970227817632,1.7071747899415004,-0.5058777671597372,camille_pissarro,1.395884806630758,-0.1945877838489949
gpt-image-2,camille_pissarro,texture,1.431903152853945,1.4367250891151042,-0.004821936261159232,alfred_sisley,1.4952559006567274,-0.06335274780278244
gpt-image-2,paul_cezanne,texture,2.2831169792410626,1.5877529067408798,0.6953640725001828,claude_monet,1.8159110489191232,0.46720593032193936
sd-turbo,claude_monet,color,0.9016382959580513,1.22861577811236,-0.32697748215430855,camille_pissarro,0.6446729192556815,0.25696537670236985
sd-turbo,alfred_sisley,color,0.8325439915465525,1.1076037027151586,-0.27505971116860617,camille_pissarro,0.6152051175861655,0.21733887396038698
sd-turbo,camille_pissarro,color,1.1474801355422044,1.0908984133344282,0.05658172220777624,paul_cezanne,0.8369259403404787,0.31055419520172567
sd-turbo,paul_cezanne,color,0.581271809216817,0.6365736801936679,-0.05530187097685091,alfred_sisley,1.727210561922209,-1.145938752705392
sd-turbo,claude_monet,spatial,0.9749251969408363,1.7486112802848082,-0.7736860833439718,paul_cezanne,0.9695761206213418,0.00534907631949455
sd-turbo,alfred_sisley,spatial,1.45601520342181,2.323472153606496,-0.8674569501846863,claude_monet,1.017590873411594,0.43842433001021597
sd-turbo,camille_pissarro,spatial,1.4439901554469525,2.965033890152883,-1.5210437347059305,paul_cezanne,0.6165019615282206,0.827488193918732
sd-turbo,paul_cezanne,spatial,1.1427699698658196,1.9108042380676107,-0.7680342682017911,claude_monet,1.2332798492436807,-0.09050987937786115
sd-turbo,claude_monet,texture,1.4963947961953927,1.3204678618721881,0.1759269343232046,camille_pissarro,2.1854344551090517,-0.6890396589136589
sd-turbo,alfred_sisley,texture,1.6071330469572864,2.0173240957018215,-0.41019104874453505,claude_monet,1.0119011112975362,0.5952319356597502
sd-turbo,camille_pissarro,texture,1.694499648972518,1.9356679338959277,-0.2411682849234098,claude_monet,1.2237456391143602,0.47075400985815774
sd-turbo,paul_cezanne,texture,0.7053003760433703,1.4471874003979415,-0.7418870243545712,claude_monet,1.716318583284978,-1.0110182072416078
