service,block,painter_id,family,distance,artist_free_distance,control_difference,generated_count
gpt-image-1,0,claude_monet,color,0.6827168361990072,1.4732102029801946,-0.7904933667811873,16
gpt-image-1,0,alfred_sisley,color,0.7926946491293314,1.3573219240013745,-0.5646272748720431,16
gpt-image-1,0,camille_pissarro,color,1.1260827743153343,1.3181851635720003,-0.192102389256666,16
gpt-image-1,0,paul_cezanne,color,0.6905282978213563,0.7513646238519496,-0.0608363260305933,16
gpt-image-1,0,claude_monet,spatial,0.8434410943788508,0.32301098851573595,0.5204301058631149,16
gpt-image-1,0,alfred_sisley,spatial,0.8203636219188306,0.4734000341422657,0.3469635877765649,16
gpt-image-1,0,camille_pissarro,spatial,0.8720977457890964,0.800964196710201,0.07113354907889535,16
gpt-image-1,0,paul_cezanne,spatial,0.7154909491756665,0.8770952684990054,-0.16160431932333896,16
gpt-image-1,0,claude_monet,texture,1.5799868752654487,1.480104477106944,0.09988239815850464,16
gpt-image-1,0,alfred_sisley,texture,1.1942413669821774,1.7931901251673872,-0.5989487581852098,16
gpt-image-1,0,camille_pissarro,texture,1.27075918919008,1.4993995683470396,-0.22864037915695956,16
gpt-image-1,0,paul_cezanne,texture,2.2038506153940087,1.7468127203385766,0.45703789505543213,16
gpt-image-2,0,claude_monet,color,0.5467621235811126,1.309835276693994,-0.7630731531128814,16
gpt-image-2,0,alfred_sisley,color,0.7812259023285333,1.2212813111435992,-0.4400554088150659,16
gpt-image-2,0,camille_pissarro,color,1.0747853521746351,1.1741027160947168,-0.09931736392008172,16
gpt-image-2,0,paul_cezanne,color,0.7285321189395972,0.6213218276183485,0.10721029132124871,16
gpt-image-2,0,claude_monet,spatial,0.7871868661854391,0.33587901058804004,0.45130785559739905,16
gpt-image-2,0,alfred_sisley,spatial,0.5759998675381701,0.5083970027402076,0.06760286479796251,16
gpt-image-2,0,camille_pissarro,spatial,0.6399674074274149,0.8545331254100144,-0.2145657179825995,16
gpt-image-2,0,paul_cezanne,spatial,0.7128906832875541,0.8654909389102463,-0.1526002556226922,16
gpt-image-2,0,claude_monet,texture,1.7032978247505335,1.470785472325379,0.23251235242515444,16
gpt-image-2,0,alfred_sisley,texture,1.2012970227817632,1.7071747899415004,-0.5058777671597372,16
gpt-image-2,0,camille_pissarro,texture,1.431903152853945,1.4367250891151042,-0.004821936261159232,16
gpt-image-2,0,paul_cezanne,texture,2.2831169792410626,1.5877529067408798,0.6953640725001828,16
sd-turbo,0,claude_monet,color,0.9375059157638315,1.2561757426152385,-0.318669826851407,16
sd-turbo,0,alfred_sisley,color,0.8871264914058987,1.1562531415984485,-0.2691266501925498,16
sd-turbo,0,camille_pissarro,color,1.2002277510637323,1.1939564330397108,0.006271318024021477,16
