painter_id,family,draw,group_size,energy_distance,sample_variance_ratio,squared_iqr_sum_ratio
claude_monet,all31,0,64,0.1687124340199011,0.8491759926648854,0.743182643353369
claude_monet,color,0,64,0.07725888712620765,0.7813312498398767,0.7529400320869402
claude_monet,spatial,0,64,0.07141277132239354,0.982081115072282,0.7597420077106231
claude_monet,texture,0,64,0.12300225575805523,0.8096015069509047,0.7195105077078957
claude_monet,all31,1,64,0.14422468341352168,0.9381783777060715,0.8082891744154609
claude_monet,color,1,64,0.08913392280443855,0.8922096120431603,0.7691811130642915
claude_monet,spatial,1,64,0.06196804239439313,0.9861449693637655,0.9248994061751066
claude_monet,texture,1,64,0.08785267131981556,0.9361346549928278,0.7750426947637934
claude_monet,all31,2,64,0.14426147028844483,0.9650726661298378,0.7594421331389511
claude_monet,color,2,64,0.07937231031601755,0.9470281668696766,0.7922099591889206
claude_monet,spatial,2,64,0.09099140950563767,0.7116054801558493,0.6254108188915365
claude_monet,texture,2,64,0.06083566920544081,1.2390108620518447,0.845742084785576
claude_monet,all31,3,64,0.21685023012148363,0.8920985778036365,0.8974967812291088
claude_monet,color,3,64,0.1799248267767668,0.9680147755816317,0.8658911568001945
claude_monet,spatial,3,64,0.10037035450458154,0.712916024028274,0.832506499163992
claude_monet,texture,3,64,0.09186120085672878,0.9996668959376043,0.9830819009738132
claude_monet,all31,4,64,0.19900063272253554,0.895499979377359,1.0893921186152067
claude_monet,color,4,64,0.13444936757582848,0.854429462467535,0.9061494183770188
claude_monet,spatial,4,64,0.1441052636198603,1.6021993116724642,1.313228426533393
claude_monet,texture,4,64,0.07799653361342429,0.6297387179367107,1.1287111755280763
claude_monet,all31,5,64,0.16848671354043887,0.8988576976771249,0.9928981323401741
claude_monet,color,5,64,0.07651911168382552,1.1454263598738275,1.2192927759188217
claude_monet,spatial,5,64,0.13361418994900154,0.6639104423562835,0.7392020437259945
claude_monet,texture,5,64,0.06561014528342124,0.9634315084014557,1.0143005354946375
claude_monet,all31,6,64,0.1705000299797197,0.8823081620896359,0.8433403227528339
claude_monet,color,6,64,0.10394471671314776,1.2410287401003306,0.8725971444181753
claude_monet,spatial,6,64,0.09597347183851523,0.9502807110287259,0.7240781988244217
claude_monet,texture,6,64,0.08558019723260868,0.6655243636474197,0.9079377150588612
claude_monet,all31,7,64,0.18660189051537568,0.9635719629094904,0.9954072832006715
