painter_id,alias,method_id,condition,family,draw,group_size,energy_distance,sample_variance_ratio,squared_iqr_sum_ratio
claude_monet,gpt-image-1,by_name,named,all31,0,64,1.8935025342227099,0.2588928285304857,0.2681549396121598
claude_monet,gpt-image-1,by_name,named,all31,1,64,1.866815862743262,0.22410668496197084,0.2671506616571691
claude_monet,gpt-image-1,by_name,named,all31,2,64,1.8270296916438924,0.2628439246532243,0.2587337267695236
claude_monet,gpt-image-1,by_name,named,all31,3,64,1.7101797306472148,0.25044777918836586,0.28254274595542006
claude_monet,gpt-image-1,by_name,named,all31,4,64,1.79549562231134,0.2182147757417373,0.3260400559556048
claude_monet,gpt-image-1,by_name,named,all31,5,64,1.8800303231176363,0.23313507517018672,0.2750735243226721
claude_monet,gpt-image-1,by_name,named,all31,6,64,1.7641756199836602,0.23536618988638108,0.2838025239249684
claude_monet,gpt-image-1,by_name,named,all31,7,64,1.9907800369930544,0.23662305919227894,0.263946938596654
claude_monet,gpt-image-1,by_name,named,all31,8,64,1.6293994146506803,0.2639540158169944,0.31551489568264335
claude_monet,gpt-image-1,by_name,named,all31,9,64,1.7914881770386217,0.28248706352518754,0.30134554551517667
claude_monet,gpt-image-1,by_name,named,all31,10,64,1.7940256393185452,0.2549600160039331,0.30030911838504015
claude_monet,gpt-image-1,by_name,named,all31,11,64,1.7463592776073247,0.22272734270983793,0.29096581044220937
claude_monet,gpt-image-1,by_name,named,all31,12,64,1.959958719600352,0.25242489038884114,0.2497451569985805
claude_monet,gpt-image-1,by_name,named,all31,13,64,1.7453002243845113,0.22145016497926442,0.3419014706908209
claude_monet,gpt-image-1,by_name,named,all31,14,64,1.672937190818467,0.24752441184230295,0.2709106423331907
claude_monet,gpt-image-1,by_name,named,all31,15,64,2.0243725917679276,0.2031047186330627,0.270634737786324
claude_monet,gpt-image-1,by_name,named,all31,16,64,2.0473544699831008,0.2506581971514506,0.29518196653091494
claude_monet,gpt-image-1,by_name,named,all31,17,64,1.8042746635845348,0.23801466410219932,0.2720571940515132
claude_monet,gpt-image-1,by_name,named,all31,18,64,1.590966446463796,0.25372276315679293,0.32373152120936344
claude_monet,gpt-image-1,by_name,named,all31,19,64,1.9140312082612332,0.2977094042464408,0.30715587401735106
claude_monet,gpt-image-1,by_name,named,all31,20,64,1.733423851381735,0.2181198078079182,0.28539702998589683
claude_monet,gpt-image-1,by_name,named,all31,21,64,1.9062291136293958,0.2791269588374056,0.32974969199314985
claude_monet,gpt-image-1,by_name,named,all31,22,64,1.9188256579919507,0.22580176120059353,0.2560621987614755
claude_monet,gpt-image-1,by_name,named,all31,23,64,1.609180535450954,0.2728722105971995,0.29735282797558565
claude_monet,gpt-image-1,by_name,named,all31,24,64,1.9357948998283274,0.2574308555043822,0.26664116024746753
claude_monet,gpt-image-1,by_name,named,all31,25,64,1.7396077352349133,0.26139817066969895,0.2962635868408698
claude_monet,gpt-image-1,by_name,named,all31,26,64,2.0046078232640494,0.26300577390316604,0.2878111089905173
claude_monet,gpt-image-1,by_name,named,all31,27,64,2.1742935895965196,0.21490702293126798,0.24876689948958994
claude_monet,gpt-image-1,by_name,named,all31,28,64,1.6856973086661027,0.27359579267176076,0.28590098423718774
claude_monet,gpt-image-1,by_name,named,all31,29,64,2.0691936736745777,0.2497393354226345,0.2803987629495492
claude_monet,gpt-image-1,by_name,named,all31,30,64,1.8165122938881426,0.24917300093934036,0.30445239554838555
claude_monet,gpt-image-1,by_name,named,all31,31,64,1.799555161453891,0.22783768246640504,0.29782756347114503
claude_monet,gpt-image-1,by_name,named,all31,32,64,1.8427283854666703,0.27432084567027487,0.27497695597328103
claude_monet,gpt-image-1,by_name,named,all31,33,64,2.085417484418044,0.22456535855481968,0.2601091595115386
claude_monet,gpt-image-1,by_name,named,all31,34,64,1.6924127333603707,0.2380059136912529,0.28277911922521215
claude_monet,gpt-image-1,by_name,named,all31,35,64,1.605494254889944,0.24875219438189614,0.3342329106840325
claude_monet,gpt-image-1,by_name,named,all31,36,64,1.7608266776078545,0.29698225801474254,0.3224312121348802
claude_monet,gpt-image-1,by_name,named,all31,37,64,1.9497446038025048,0.2700721148457645,0.3458569003262829
claude_monet,gpt-image-1,by_name,named,all31,38,64,1.9254230584530614,0.2207503455267107,0.316283847359432
claude_monet,gpt-image-1,by_name,named,all31,39,64,1.8725669222949302,0.2817594929112497,0.31957618165864066
claude_monet,gpt-image-1,by_name,named,all31,40,64,1.424649959415233,0.2731529750156229,0.30973162376344426
claude_monet,gpt-image-1,by_name,named,all31,41,64,1.7899356173589904,0.2678834307074029,0.3021735122561279
claude_monet,gpt-image-1,by_name,named,all31,42,64,1.9012138180572888,0.2639889230739517,0.32692651276617374
claude_monet,gpt-image-1,by_name,named,all31,43,64,1.8650867058072564,0.2132003012767316,0.27455910190812255
claude_monet,gpt-image-1,by_name,named,all31,44,64,1.7898490682820336,0.2299279159280369,0.29341816143586635
claude_monet,gpt-image-1,by_name,named,all31,45,64,1.7788999596593884,0.2669990855757319,0.3077980130428557
claude_monet,gpt-image-1,by_name,named,all31,46,64,2.0684203388277593,0.24666929380239183,0.28910079039305764
claude_monet,gpt-image-1,by_name,named,all31,47,64,1.917599212629006,0.24019447046440232,0.269444166172306
claude_monet,gpt-image-1,by_name,named,all31,48,64,1.8068412908388543,0.2792819635728891,0.3331962151798643
claude_monet,gpt-image-1,by_name,named,all31,49,64,1.7368393861749478,0.2925045044520314,0.35152220381218924
claude_monet,gpt-image-1,by_name,named,all31,50,64,1.6982407384742055,0.31419381839368754,0.3061712388390395
claude_monet,gpt-image-1,by_name,named,all31,51,64,1.6651236040934845,0.2849000777009935,0.354692586851151
claude_monet,gpt-image-1,by_name,named,all31,52,64,1.571565916259594,0.2799967775522573,0.27290237890830116
claude_monet,gpt-image-1,by_name,named,all31,53,64,1.6227091442400097,0.28929506532077925,0.32246904922781666
claude_monet,gpt-image-1,by_name,named,all31,54,64,2.013950493527487,0.26841623172096807,0.2933364959370197
claude_monet,gpt-image-1,by_name,named,all31,55,64,1.5578641684968582,0.2880149326954001,0.3339559096835657
claude_monet,gpt-image-1,by_name,named,all31,56,64,1.9264944430134232,0.253688764939948,0.27972858548938856
claude_monet,gpt-image-1,by_name,named,all31,57,64,1.7728474480136356,0.27199104616683445,0.29610520481101266
claude_monet,gpt-image-1,by_name,named,all31,58,64,2.0291966283477274,0.2751456056853265,0.28916325260485937
claude_monet,gpt-image-1,by_name,named,all31,59,64,1.7597297623084147,0.2580069502849228,0.2753785610872285
claude_monet,gpt-image-1,by_name,named,all31,60,64,1.7302060495634572,0.2551194216971031,0.2945957047622174
claude_monet,gpt-image-1,by_name,named,all31,61,64,1.8094262986979066,0.27319726959851426,0.3031266024432193
claude_monet,gpt-image-1,by_name,named,all31,62,64,1.752904816487395,0.2894310575305412,0.32818197516234504
claude_monet,gpt-image-1,by_name,named,all31,63,64,2.085738368284556,0.2346377578188285,0.2811985598542804
claude_monet,gpt-image-1,by_name,named,all31,64,64,1.8207841163032765,0.23536129979813292,0.26815840622985754
claude_monet,gpt-image-1,by_name,named,all31,65,64,2.224658593123017,0.25759593649494683,0.3009781068667151
claude_monet,gpt-image-1,by_name,named,all31,66,64,1.8856067076430696,0.23100351856780552,0.24818164632367548
claude_monet,gpt-image-1,by_name,named,all31,67,64,1.9909963312272607,0.24612598216063458,0.28767084587277164
claude_monet,gpt-image-1,by_name,named,all31,68,64,2.0207371253937536,0.18587552296409576,0.27897243671640726
claude_monet,gpt-image-1,by_name,named,all31,69,64,1.8489842088810926,0.22929412257547058,0.28503314655943335
claude_monet,gpt-image-1,by_name,named,all31,70,64,1.717628015056266,0.2920065476373132,0.31640865327631795
claude_monet,gpt-image-1,by_name,named,all31,71,64,1.8002993881993836,0.2424110626557546,0.26061907307671756
claude_monet,gpt-image-1,by_name,named,all31,72,64,1.948981402679923,0.2435111216269638,0.24566735498128636
claude_monet,gpt-image-1,by_name,named,all31,73,64,1.7784591431136745,0.23135993394098045,0.3032977645187012
claude_monet,gpt-image-1,by_name,named,all31,74,64,1.9648168257534202,0.2578922797009703,0.3122592344263658
claude_monet,gpt-image-1,by_name,named,all31,75,64,1.7620089755301658,0.2956058587291535,0.2972891226456179
