painter_id,draw,classifier,balanced_accuracy,auc,real_specificity,generated_recall
claude_monet,0,linear,0.46875,0.467041015625,0.4375,0.5
claude_monet,0,rbf,0.46875,0.485107421875,0.40625,0.53125
claude_monet,1,linear,0.4765625,0.46435546875,0.53125,0.421875
claude_monet,1,rbf,0.5234375,0.475830078125,0.546875,0.5
claude_monet,2,linear,0.3828125,0.3857421875,0.359375,0.40625
claude_monet,2,rbf,0.4765625,0.47021484375,0.4375,0.515625
claude_monet,3,linear,0.5078125,0.552734375,0.484375,0.53125
claude_monet,3,rbf,0.5,0.515869140625,0.46875,0.53125
claude_monet,4,linear,0.5703125,0.604248046875,0.53125,0.609375
claude_monet,4,rbf,0.5234375,0.526123046875,0.5,0.546875
claude_monet,5,linear,0.453125,0.398681640625,0.390625,0.515625
claude_monet,5,rbf,0.453125,0.446044921875,0.375,0.53125
claude_monet,6,linear,0.4296875,0.4189453125,0.4375,0.421875
claude_monet,6,rbf,0.4453125,0.420166015625,0.46875,0.421875
claude_monet,7,linear,0.515625,0.522216796875,0.484375,0.546875
claude_monet,7,rbf,0.53125,0.556884765625,0.59375,0.46875
claude_monet,8,linear,0.546875,0.50634765625,0.578125,0.515625
claude_monet,8,rbf,0.4765625,0.4912109375,0.46875,0.484375
claude_monet,9,linear,0.4765625,0.4248046875,0.484375,0.46875
claude_monet,9,rbf,0.453125,0.44970703125,0.484375,0.421875
claude_monet,10,linear,0.4765625,0.510498046875,0.421875,0.53125
claude_monet,10,rbf,0.4609375,0.519287109375,0.484375,0.4375
claude_monet,11,linear,0.484375,0.469482421875,0.515625,0.453125
claude_monet,11,rbf,0.5078125,0.49267578125,0.578125,0.4375
claude_monet,12,linear,0.515625,0.5263671875,0.5625,0.46875
claude_monet,12,rbf,0.484375,0.4716796875,0.53125,0.4375
claude_monet,13,linear,0.5546875,0.566650390625,0.546875,0.5625
claude_monet,13,rbf,0.53125,0.59619140625,0.484375,0.578125
claude_monet,14,linear,0.53125,0.50634765625,0.59375,0.46875
claude_monet,14,rbf,0.4921875,0.496826171875,0.53125,0.453125
claude_monet,15,linear,0.625,0.66357421875,0.65625,0.59375
claude_monet,15,rbf,0.6015625,0.632080078125,0.640625,0.5625
alfred_sisley,0,linear,0.49056603773584906,0.5044499822000712,0.4716981132075472,0.5094339622641509
alfred_sisley,0,rbf,0.4528301886792453,0.4805980776076896,0.49056603773584906,0.41509433962264153
alfred_sisley,1,linear,0.5283018867924528,0.5250978996084016,0.49056603773584906,0.5660377358490566
alfred_sisley,1,rbf,0.5094339622641509,0.5414738341046635,0.5283018867924528,0.49056603773584906
alfred_sisley,2,linear,0.5566037735849056,0.5774296902812389,0.5849056603773585,0.5283018867924528
alfred_sisley,2,rbf,0.5471698113207547,0.5845496618013528,0.5849056603773585,0.5094339622641509
alfred_sisley,3,linear,0.5,0.5037379850480598,0.5283018867924528,0.4716981132075472
alfred_sisley,3,rbf,0.46226415094339623,0.5008899964400142,0.5283018867924528,0.39622641509433965
alfred_sisley,4,linear,0.6132075471698113,0.5891776432894268,0.5471698113207547,0.6792452830188679
