painter_id,alias,method_id,condition,family,weighting,original_count,generated_count,energy_distance,population_variance_ratio,sample_variance_ratio,squared_iqr_sum_ratio,coordinate_iqr_ratios,original_weight_effective_size,generated_weight_effective_size
claude_monet,gpt-image-1,by_name,named,all31,collected,297,64,1.803442213586571,0.24617834036782166,0.24924389289337892,0.29742897320982037,"[0.42941617702150997,0.6097977001840499,0.41273661471063244,0.5749524817586571,0.4688729173328062,0.6842490816313365,0.6247730779472425,0.6641925245363781,0.41121945169556273,0.2951989964160664,0.596586587080886,0.3984904135435598,1.162929111400338,0.5331815728229568,0.4920042200114437,0.7309747309488428,0.5661204009430316,0.4380448263082012,0.747320131774013,0.4564714096430535,0.48235676180332104,0.41913840699099375,0.45991683079067625,0.40354465873087364,0.4964318623134962,0.284915914678962,0.43391765173597174,0.39719746481599766,0.5702810598083617,0.3680195900245161,0.3067345946517066]",296.99999999999994,64.0
claude_monet,gpt-image-1,by_name,named,all31,content_equal,297,64,1.6428033424311081,0.2549095438231046,,0.31741945331325117,"[0.39419631306278774,0.6191197975007049,0.41192894101857624,0.5538956359543181,0.46059246171655427,0.6685317086554393,0.639531543650911,0.7131294645441717,0.4787498222609878,0.318974566401633,0.7846152456413771,0.4413047776719844,1.2114841475969895,0.5364332353775058,0.6640792410896442,0.710694920501187,0.618122273165447,0.4712682182269067,0.7658750486914472,0.4803990367059833,0.47049990937072655,0.37393678446781325,0.44850800816563496,0.42034909083271543,0.5302006407683978,0.30709102925706033,0.5094780047571754,0.4288890896941773,0.5202490376656492,0.3687601997417667,0.28392276539495387]",90.18197834360743,64.0
claude_monet,gpt-image-1,by_name,named,color,collected,297,64,0.5948073821162727,0.2839441965245331,0.28748003094226693,0.29778096635583184,"[0.42941617702150997,0.6097977001840499,0.41273661471063244,0.5749524817586571,0.4688729173328062,0.6842490816313365,0.6247730779472425,0.6641925245363781,0.41121945169556273,0.2951989964160664,0.596586587080886]",296.99999999999994,64.0
claude_monet,gpt-image-1,by_name,named,color,content_equal,297,64,0.5332582009002151,0.2766978604298,,0.3153674001387583,"[0.39419631306278774,0.6191197975007049,0.41192894101857624,0.5538956359543181,0.46059246171655427,0.6685317086554393,0.639531543650911,0.7131294645441717,0.4787498222609878,0.318974566401633,0.7846152456413771]",90.18197834360743,64.0
claude_monet,gpt-image-1,by_name,named,spatial,collected,297,64,0.7943690355082111,0.35792408361486705,0.3623811576078265,0.46385897448538504,"[0.3984904135435598,1.162929111400338,0.5331815728229568,0.4920042200114437,0.7309747309488428,0.5661204009430316,0.4380448263082012,0.747320131774013]",296.99999999999994,64.0
claude_monet,gpt-image-1,by_name,named,spatial,content_equal,297,64,0.6822500594921852,0.4223416259317364,,0.5374445129885342,"[0.4413047776719844,1.2114841475969895,0.5364332353775058,0.6640792410896442,0.710694920501187,0.618122273165447,0.4712682182269067,0.7658750486914472]",90.18197834360743,64.0
claude_monet,gpt-image-1,by_name,named,texture,collected,297,64,1.677220034484201,0.1398826378234763,0.14162453588412888,0.1841528483380069,"[0.4564714096430535,0.48235676180332104,0.41913840699099375,0.45991683079067625,0.40354465873087364,0.4964318623134962,0.284915914678962,0.43391765173597174,0.39719746481599766,0.5702810598083617,0.3680195900245161,0.3067345946517066]",296.99999999999994,64.0
claude_monet,gpt-image-1,by_name,named,texture,content_equal,297,64,1.572084246005482,0.13830370197849984,,0.1877920862651637,"[0.4803990367059833,0.47049990937072655,0.37393678446781325,0.44850800816563496,0.42034909083271543,0.5302006407683978,0.30709102925706033,0.5094780047571754,0.4288890896941773,0.5202490376656492,0.3687601997417667,0.28392276539495387]",90.18197834360743,64.0
claude_monet,gpt-image-1,by_name,artist_free,all31,collected,297,64,1.719036820997344,0.4309890347696589,0.43635595503588354,0.39094692677323645,"[0.43958476383125505,0.45337067762346,0.6445889172413928,0.7071700034522547,0.31081127640731837,0.5355467621894755,0.6495851172861025,0.3907239771896397,0.42758470852034475,0.529579588181715,0.5733687880403657,0.3780808478381924,0.8974130937320954,0.912795569196578,0.8586408801798461,0.7833451803316307,0.4589742659750438,0.4892848404299796,1.2296462418327367,0.40691731992456265,0.5006987330668717,0.5243777718187912,0.5537259948993217,0.3673786497193064,0.6323590355167567,0.47995075854328273,0.516680524941826,0.3947242519270365,0.7743035122115024,0.6091357066407016,0.5441690807817441]",296.99999999999994,64.0
claude_monet,gpt-image-1,by_name,artist_free,all31,content_equal,297,64,1.6555651520414756,0.446274916313695,,0.41722283620067674,"[0.40353089253127294,0.4603014442958303,0.6433275377269734,0.6812708723195386,0.3053222432723663,0.5232451187772579,0.6649296960035133,0.4195120696853852,0.49780257806768574,0.5722323638164789,0.7540797969874501,0.4187023798479164,0.9348822092803695,0.9183623466765273,1.1589444986165234,0.761612429390173,0.5011340628890097,0.526394517424656,1.260176643577542,0.4282473871991276,0.48839101508450916,0.4678267001299378,0.5399901165062213,0.38267705459546064,0.6753739864000575,0.517305509591622,0.6066528104840155,0.4262185438862934,0.7063721478397588,0.6103615430790074,0.5036992662448719]",90.18197834360743,64.0
