transfer_kind,source_painter,target_painter,source_alias,target_alias,classifier,balanced_accuracy,auc,real_specificity,generated_recall
cross_painter,claude_monet,alfred_sisley,gpt-image-1,gpt-image-1,linear,0.9012382075471699,0.9660966981132075,0.8962264150943396,0.90625
cross_painter,claude_monet,alfred_sisley,gpt-image-1,gpt-image-1,rbf,0.8966686320754718,0.9696344339622641,0.9339622641509434,0.859375
cross_painter,claude_monet,alfred_sisley,gpt-image-2,gpt-image-2,linear,0.9152417452830188,0.9674233490566038,0.8773584905660378,0.953125
cross_painter,claude_monet,alfred_sisley,gpt-image-2,gpt-image-2,rbf,0.8966686320754718,0.9705188679245284,0.9339622641509434,0.859375
cross_painter,claude_monet,camille_pissarro,gpt-image-1,gpt-image-1,linear,0.8836436170212766,0.9674202127659575,0.8297872340425532,0.9375
cross_painter,claude_monet,camille_pissarro,gpt-image-1,gpt-image-1,rbf,0.9098515070921986,0.9725177304964538,0.9290780141843972,0.890625
cross_painter,claude_monet,camille_pissarro,gpt-image-2,gpt-image-2,linear,0.8829233156028369,0.9637632978723404,0.8439716312056738,0.921875
cross_painter,claude_monet,camille_pissarro,gpt-image-2,gpt-image-2,rbf,0.8942265070921986,0.96875,0.9290780141843972,0.859375
cross_painter,claude_monet,paul_cezanne,gpt-image-1,gpt-image-1,linear,0.53125,0.9806547619047619,1.0,0.0625
cross_painter,claude_monet,paul_cezanne,gpt-image-1,gpt-image-1,rbf,0.546875,0.9747023809523809,1.0,0.09375
cross_painter,claude_monet,paul_cezanne,gpt-image-2,gpt-image-2,linear,0.5234375,0.9669642857142857,1.0,0.046875
cross_painter,claude_monet,paul_cezanne,gpt-image-2,gpt-image-2,rbf,0.515625,0.9625,1.0,0.03125
cross_painter,alfred_sisley,claude_monet,gpt-image-1,gpt-image-1,linear,0.8687394781144782,0.9706439393939394,0.9562289562289562,0.78125
cross_painter,alfred_sisley,claude_monet,gpt-image-1,gpt-image-1,rbf,0.9028829966329966,0.9915298821548821,0.9932659932659933,0.8125
cross_painter,alfred_sisley,claude_monet,gpt-image-2,gpt-image-2,linear,0.9329229797979798,0.9797979797979798,0.9595959595959596,0.90625
cross_painter,alfred_sisley,claude_monet,gpt-image-2,gpt-image-2,rbf,0.909011994949495,0.9876367845117845,0.98989898989899,0.828125
cross_painter,alfred_sisley,camille_pissarro,gpt-image-1,gpt-image-1,linear,0.9524601063829787,0.984375,0.9361702127659575,0.96875
cross_painter,alfred_sisley,camille_pissarro,gpt-image-1,gpt-image-1,rbf,0.943927304964539,0.991688829787234,0.950354609929078,0.9375
cross_painter,alfred_sisley,camille_pissarro,gpt-image-2,gpt-image-2,linear,0.9403812056737588,0.9821586879432624,0.9432624113475178,0.9375
cross_painter,alfred_sisley,camille_pissarro,gpt-image-2,gpt-image-2,rbf,0.9275820035460993,0.9853723404255319,0.9645390070921985,0.890625
cross_painter,alfred_sisley,paul_cezanne,gpt-image-1,gpt-image-1,linear,0.515625,0.9327380952380953,1.0,0.03125
cross_painter,alfred_sisley,paul_cezanne,gpt-image-1,gpt-image-1,rbf,0.5,0.8668154761904762,1.0,0.0
cross_painter,alfred_sisley,paul_cezanne,gpt-image-2,gpt-image-2,linear,0.515625,0.9461309523809524,1.0,0.03125
cross_painter,alfred_sisley,paul_cezanne,gpt-image-2,gpt-image-2,rbf,0.5078125,0.9074404761904762,1.0,0.015625
cross_painter,camille_pissarro,claude_monet,gpt-image-1,gpt-image-1,linear,0.8575599747474747,0.9620159932659933,0.9494949494949495,0.765625
cross_painter,camille_pissarro,claude_monet,gpt-image-1,gpt-image-1,rbf,0.8431449915824916,0.9802714646464646,0.9831649831649831,0.703125
cross_painter,camille_pissarro,claude_monet,gpt-image-2,gpt-image-2,linear,0.8028724747474747,0.9590698653198653,0.9494949494949495,0.65625
cross_painter,camille_pissarro,claude_monet,gpt-image-2,gpt-image-2,rbf,0.8135784932659933,0.9722222222222222,0.9865319865319865,0.640625
cross_painter,camille_pissarro,alfred_sisley,gpt-image-1,gpt-image-1,linear,0.8856132075471699,0.9696344339622641,0.8962264150943396,0.875
cross_painter,camille_pissarro,alfred_sisley,gpt-image-1,gpt-image-1,rbf,0.9015330188679245,0.9761202830188679,0.9905660377358491,0.8125
cross_painter,camille_pissarro,alfred_sisley,gpt-image-2,gpt-image-2,linear,0.8997641509433962,0.9688974056603774,0.9245283018867925,0.875
cross_painter,camille_pissarro,alfred_sisley,gpt-image-2,gpt-image-2,rbf,0.8780955188679245,0.9750884433962265,0.9905660377358491,0.765625
cross_painter,camille_pissarro,paul_cezanne,gpt-image-1,gpt-image-1,linear,0.5686011904761905,0.9455357142857143,0.9809523809523809,0.15625
