alias,basis,block,domain,family,image_id,method_id,painter_id,pc1,pc2,projection_id,retried,source_run_id,template_id
original,balanced_joint,-1,original,all31,wikidata:Q10346982,original,claude_monet,0.2763016799452323,-1.0066705645778056,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q104595258,original,claude_monet,-3.3669643861370946,-2.0031163641242626,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q104774128,original,claude_monet,-1.3097221404740709,-2.3192868144589847,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q105099568,original,claude_monet,-1.9946208951793138,-0.4483415337478776,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q105099584,original,claude_monet,2.7613971819586256,-3.299675354051465,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q105099603,original,claude_monet,1.9389042256490583,-0.22408683652475625,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q105099612,original,claude_monet,-1.2021084179900818,1.5029679199129962,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q105416251,original,claude_monet,6.977985786880394,-1.1821635764002556,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q105430123,original,claude_monet,-3.939893889054541,-1.0812826296470435,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q106697989,original,claude_monet,2.233415989400193,0.1744085440420093,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q106767908,original,claude_monet,-4.137097743843802,-1.7784250756363953,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
original,balanced_joint,-1,original,all31,wikidata:Q106849734,original,claude_monet,-1.6223652677407365,-2.359485204250489,claude_monet/all31/balanced_joint,False,pfg2-method-20260905,
