allocated,arm,available,mean,polarity,template_id,values
4,free,1,0.45639215711024644,muted,built_houses,[0.45639215711024644]
4,free,2,4.09713293355631,vivid,built_houses,"[3.8168188537002408, 4.377447013412379]"
4,generic,2,0.47283797482560697,muted,built_houses,"[0.17893451501754687, 0.7667414346336671]"
4,generic,2,3.1084255513574623,vivid,built_houses,"[3.210447600248065, 3.0064035024668603]"
4,monet,2,-0.6757367288830342,muted,built_houses,"[-0.2749930125595728, -1.0764804452064956]"
4,monet,2,1.7275598886304304,vivid,built_houses,"[1.9493641926580236, 1.5057555846028374]"
4,cezanne,2,-0.23177377627651374,muted,built_houses,"[-0.2979266476744206, -0.16562090487860684]"
4,cezanne,2,2.0955328334746732,vivid,built_houses,"[1.9876034843138695, 2.203462182635477]"
4,free,1,0.20808474261693669,muted,built_village,[0.20808474261693669]
4,free,1,2.8953936122665613,vivid,built_village,[2.8953936122665613]
4,generic,1,0.48739595433745825,muted,built_village,[0.48739595433745825]
4,generic,1,2.9124924713713054,vivid,built_village,[2.9124924713713054]
4,monet,1,-0.6903704865079129,muted,built_village,[-0.6903704865079129]
4,monet,1,1.8226151097384922,vivid,built_village,[1.8226151097384922]
4,cezanne,1,-0.4470668961421308,muted,built_village,[-0.4470668961421308]
4,cezanne,1,2.291458809800281,vivid,built_village,[2.291458809800281]
4,free,2,0.20464813697739015,muted,land_fields,"[0.36366962511435436, 0.04562664884042597]"
4,free,2,4.578461346721935,vivid,land_fields,"[4.390940025694465, 4.765982667749404]"
4,generic,3,0.3857678340829538,muted,land_fields,"[0.6231655954780347, 0.5901420464271682, -0.05600413965634159]"
4,generic,2,4.58285504495791,vivid,land_fields,"[4.481455752862762, 4.684254337053058]"
4,monet,2,-0.7815322992301629,muted,land_fields,"[-0.733802946867284, -0.8292616515930418]"
4,monet,2,2.246160023024604,vivid,land_fields,"[2.376019282653132, 2.1163007633960764]"
4,cezanne,2,0.10294905006009791,muted,land_fields,"[0.012886428174763464, 0.19301167194543237]"
4,cezanne,3,2.906182276208693,vivid,land_fields,"[3.165656820142321, 3.1172175409470326, 2.4356724675367256]"
4,free,0,,muted,land_garden,[]
4,free,0,,vivid,land_garden,[]
4,generic,0,,muted,land_garden,[]
4,generic,0,,vivid,land_garden,[]
4,monet,0,,muted,land_garden,[]
4,monet,0,,vivid,land_garden,[]
4,cezanne,0,,muted,land_garden,[]
4,cezanne,0,,vivid,land_garden,[]
4,free,1,-0.9120475207271771,muted,water_bend,[-0.9120475207271771]
4,free,1,3.4799155832943014,vivid,water_bend,[3.4799155832943014]
4,generic,1,-0.4700845205041911,muted,water_bend,[-0.4700845205041911]
4,generic,1,3.3807543220784133,vivid,water_bend,[3.3807543220784133]
4,monet,1,-1.0185044792717222,muted,water_bend,[-1.0185044792717222]
4,monet,1,1.8413413651751502,vivid,water_bend,[1.8413413651751502]
4,cezanne,1,-0.6915999566160321,muted,water_bend,[-0.6915999566160321]
4,cezanne,1,2.277045960491738,vivid,water_bend,[2.277045960491738]
4,free,0,,muted,water_river,[]
4,free,0,,vivid,water_river,[]
4,generic,0,,muted,water_river,[]
4,generic,0,,vivid,water_river,[]
4,monet,0,,muted,water_river,[]
4,monet,0,,vivid,water_river,[]
4,cezanne,0,,muted,water_river,[]
4,cezanne,0,,vivid,water_river,[]
