painter_id,condition,source_route,target_route,kernel,status,domain,image_id,score
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q105099583,-1.0580430670531173
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q105099601,-0.6424454815082705
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q105099613,-0.5393334127278955
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q105099626,0.21165931542600158
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q106879983,-0.08108470866203277
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q106925109,-1.342774600884196
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q113520917,-0.8635926404236001
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q116143411,-0.8219629125383976
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q117435199,-0.7724851628136508
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q117435200,-1.2498638687081103
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q17492292,-0.13120980418510664
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q17493461,-0.7493551275547619
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q17493907,-0.8212529699196223
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q19967292,-0.15100657835071818
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q20538824,-0.6122655050410108
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q20538849,-0.607869977270853
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q20809479,-1.2640938568103566
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q2450237,-0.5642143049907077
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q24953805,-0.5918475633345777
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q30093031,-0.5088576763584327
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q3794124,-0.4435055098994667
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q47615867,-0.03124199170263897
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q50415977,0.6379974224349487
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q50700359,-0.31805456950724875
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q59530379,-1.1213220403553485
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q63952037,-0.2845315829550188
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q66126523,0.09927255397862655
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q67158045,-0.5720453891547157
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q67220780,-1.302424316851564
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q67609602,-0.7197743634409919
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q68372814,0.4680662090649623
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q79790733,-1.0588353100291679
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q79790741,-0.9667532475412071
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q79868506,-0.9428325685736416
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q85224931,-0.6916852838872568
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q87367853,-1.3234374127661543
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q92787519,-0.5486052141612658
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,original,wikidata:Q92831691,-0.7996228045856419
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0001,1.189331405520607
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0010,0.6534459507033237
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0012,0.7884423971244594
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0030,1.097228978317899
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0088,1.072145422690539
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0099,1.0993106121070273
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0110,0.6120318026152837
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0113,0.3451618443868334
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0122,0.1305749148854436
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0147,1.1618573088969435
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0155,0.4414476936605364
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0164,1.236717494850323
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0167,0.45869160539270615
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0178,0.6044410977833681
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0186,-0.08025571138656629
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0208,0.4263836884178094
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0234,1.3535160626798128
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0238,0.6729595574258204
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0259,0.9987014158131496
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,generated,generated:slot0265,0.9501304781031673
