omitted_development_painter,after_energy,after_reference_trace_ratio,before_energy,before_reference_trace_ratio,distinct_briefs,energy_change,energy_term_changes.cross_twice,energy_term_changes.energy,energy_term_changes.generated_within,energy_term_changes.reference_within,excluded_pairs.n,generated_decomposition_ratios.between_brief_means,generated_decomposition_ratios.between_brief_within_class,generated_decomposition_ratios.between_class,generated_decomposition_ratios.total_trace,generated_decomposition_ratios.within_brief,generated_decomposition_ratios.within_class,generated_squared_iqr_sum_ratio,generated_total_trace_ratio,n_pairs,n_reference,painter_id,route,status,target.built,target.land,target.water
alfred_sisley,1.3774765681923506,0.34311926584342173,1.9787274096100216,0.9829916024939223,24,-0.6012508414176709,-3.2256264515346693,-0.6012508414176709,-2.6243756101169993,0.0,0,0.3574631097132127,0.30206606566395383,0.6338951538595141,0.3490561516221531,0.3210429636978682,0.30709191334599817,0.41015606609685507,0.3490561516221531,72,38,claude_monet,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
alfred_sisley,0.7948766366568583,0.4764561549797491,1.7418074185407644,1.0023108012074238,24,-0.9469307818839061,-2.470149829980043,-0.9469307818839061,-1.523219048096137,0.0,0,0.4654319220481355,0.43313291535953113,0.6552232253799514,0.47535769783762766,0.5042612410129083,0.45352243256615066,0.6147822071739301,0.47535769783762777,72,32,paul_cezanne,flux_2_max,descriptive,0.34375,0.5625,0.09375
alfred_sisley,3.4274730785409453,0.7431036988454267,4.300323323374103,1.0630658881363502,24,-0.8728502448331579,-1.9940719955762276,-0.8728502448331579,-1.1212217507430697,0.0,0,0.6885528701477192,0.6599106093603382,0.8513195737276874,0.6990194183995069,0.7471332758074386,0.6776783778291297,0.8758050624906459,0.6990194183995069,72,38,claude_monet,nano_banana_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
alfred_sisley,3.0630783908562726,0.7227134891754724,5.043724389278779,1.5359737523540575,24,-1.9806459984225064,-3.825730889131602,-1.9806459984225064,-1.8450848907090958,0.0,0,0.3791573374590797,0.3754436613469185,0.41639794609126146,0.470524634986653,0.8210071727552092,0.4747195776675575,0.5519809917936331,0.47052463498665287,72,32,paul_cezanne,nano_banana_2,descriptive,0.34375,0.5625,0.09375
alfred_sisley,2.3583942634591812,0.45004202688063644,2.607220854619701,0.7932566206293366,24,-0.24882659116051986,-1.7788435753111145,-0.24882659116051986,-1.5300169841505937,0.0,0,0.5258099901381236,0.5030337353942477,0.6077785793701994,0.5673347252035438,0.8763323692232172,0.5577437847050202,0.5107504792480867,0.5673347252035438,72,38,claude_monet,oauth_gpt_image_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
alfred_sisley,1.976814549656932,0.4678269284312063,2.0823208005285494,0.77070312183366,24,-0.10550625087161736,-1.1574806086636915,-0.10550625087161736,-1.0519743577920742,0.0,0,0.5392478698005893,0.5323996970930432,0.5795904348267368,0.607013148354908,1.0893004111774176,0.6110110724949886,0.474479049205086,0.6070131483549083,72,32,paul_cezanne,oauth_gpt_image_2,descriptive,0.34375,0.5625,0.09375
camille_pissarro,1.334005807477892,0.33700187055633696,1.912350379940949,0.974998140176577,24,-0.5783445724630569,-3.229643565899229,-0.5783445724630569,-2.651298993436172,0.0,0,0.3541601737559311,0.3000273148374939,0.6269712257018872,0.3456436034793915,0.3183072788257611,0.304996951513899,0.4133303735666111,0.3456436034793915,72,38,claude_monet,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
camille_pissarro,0.8158881822663333,0.4817719250960706,1.7187792320003963,1.0082028421850007,24,-0.902891049734063,-2.4231583322922052,-0.902891049734063,-1.5202672825581423,0.0,0,0.46543018655234875,0.4349405278044721,0.6451777981999159,0.47785217908329164,0.5132010329316815,0.457737234686888,0.6132253995252586,0.47785217908329164,72,32,paul_cezanne,flux_2_max,descriptive,0.34375,0.5625,0.09375
camille_pissarro,3.3590462263215866,0.7157086675663407,4.239700734353818,1.031173176522956,24,-0.8806545080322312,-2.0217464399928957,-0.8806545080322312,-1.1410919319606645,0.0,0,0.6859050709226306,0.6513077894846216,0.8786992481360336,0.6940722313779147,0.7291215621773974,0.6680832396059582,0.8545550810555846,0.694072231377915,72,38,claude_monet,nano_banana_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
camille_pissarro,2.9745735087967864,0.7122177127819697,4.873842672650918,1.5556371736524914,24,-1.8992691638541315,-3.798759453222079,-1.8992691638541315,-1.8994902893679475,0.0,0,0.3740495360377313,0.3717420630694119,0.3962224852156751,0.4578302221396191,0.7438246647153444,0.4626747012176913,0.5518327541009848,0.45783022213961927,72,32,paul_cezanne,nano_banana_2,descriptive,0.34375,0.5625,0.09375
camille_pissarro,2.4628294446457906,0.4355253077826854,2.5946069321567524,0.7801107620950668,24,-0.13177748751096185,-1.7004707387052278,-0.13177748751096185,-1.568693251194266,0.0,0,0.516022932308465,0.49696910555777907,0.5827244372329574,0.5582865010258774,0.8713217071482047,0.5523381226722328,0.5093563757882251,0.5582865010258772,72,38,claude_monet,oauth_gpt_image_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
camille_pissarro,1.941322085620115,0.4786898795307372,2.050513619580542,0.7682151221568464,24,-0.10919153396042702,-1.129984195942665,-0.10919153396042702,-1.020792661982238,0.0,0,0.5566099332921584,0.5490635047204012,0.6006848176540567,0.6231195738333867,1.090067673959369,0.6264116278574968,0.48032971338061253,0.6231195738333867,72,32,paul_cezanne,oauth_gpt_image_2,descriptive,0.34375,0.5625,0.09375
claude_monet,1.4279529366088566,0.3563661165032121,2.1380538300816765,1.1145627408538759,24,-0.7101008934728199,-3.723580369545397,-0.7101008934728199,-3.0134794760725763,0.0,0,0.3256334342483024,0.2721257009922032,0.6067257570029606,0.3197362548026655,0.2995439932716014,0.27919866088059114,0.3896276650481981,0.3197362548026655,72,38,claude_monet,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
