painter_id,condition,source_route,target_route,kernel,status,auc,balanced_accuracy,false_negative_n,false_positive_n,fold,generated_recall,n_test_generated,n_test_original,n_train_generated,n_train_original,real_specificity,test_generated_class_counts.built,test_generated_class_counts.land,test_generated_class_counts.water,test_original_class_counts.built,test_original_class_counts.land,test_original_class_counts.water,train_generated_class_counts.built,train_generated_class_counts.land,train_generated_class_counts.water,train_original_class_counts.built,train_original_class_counts.land,train_original_class_counts.water
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,0.9661016949152542,0.8813559322033898,2,0,0,0.7627118644067796,12,7,60,31,1.0,3,3,6,1,2,4,21,21,18,3,11,17
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,1.0,1.0,0,0,1,1.0,12,7,60,31,1.0,3,3,6,,3,4,21,21,18,4,10,17
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,0.8690476190476188,0.75,0,3,2,1.0,12,6,60,32,0.5,6,3,3,,2,4,18,21,21,4,11,17
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,0.9999999999999999,0.9166666666666665,0,1,3,0.9999999999999998,12,6,60,32,0.8333333333333334,6,3,3,1,2,3,18,21,21,3,11,18
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,1.0000000000000002,1.0,0,0,4,1.0,12,6,60,32,1.0,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,1.0,1.0,0,0,5,1.0,12,6,60,32,1.0,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,0.9346246973365617,0.5932203389830508,8,0,0,0.18644067796610167,12,7,60,31,1.0,3,3,6,1,2,4,21,21,18,3,11,17
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,0.9556093623890234,0.7740112994350283,7,0,1,0.5480225988700566,12,7,60,31,1.0,3,3,6,,3,4,21,21,18,4,10,17
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,0.6653439153439152,0.6150793650793651,4,3,2,0.7301587301587301,12,6,60,32,0.5,6,3,3,,2,4,18,21,21,4,11,17
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,0.8783068783068781,0.869047619047619,3,1,3,0.9047619047619045,12,6,60,32,0.8333333333333334,6,3,3,1,2,3,18,21,21,3,11,18
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,0.9575163398692812,0.6764705882352942,7,0,4,0.35294117647058826,12,6,60,32,1.0,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,0.9357298474945535,0.7369281045751634,5,1,5,0.6405228758169935,12,6,60,32,0.8333333333333334,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,named,flux_2_max,nano_banana_2,linear,available,0.6069410815173527,0.5706214689265536,10,0,0,0.14124293785310735,12,7,60,31,1.0,3,3,6,1,2,4,21,21,18,3,11,17
claude_monet,named,flux_2_max,nano_banana_2,linear,available,0.8240516545601291,0.5859564164648909,7,2,1,0.4576271186440678,12,7,60,31,0.7142857142857142,3,3,6,,3,4,21,21,18,4,10,17
claude_monet,named,flux_2_max,nano_banana_2,linear,available,0.4603174603174603,0.3333333333333333,12,2,2,0.0,12,6,60,32,0.6666666666666666,6,3,3,,2,4,18,21,21,4,11,17
claude_monet,named,flux_2_max,nano_banana_2,linear,available,0.6177248677248677,0.6825396825396826,7,0,3,0.365079365079365,12,6,60,32,1.0,6,3,3,1,2,3,18,21,21,3,11,18
claude_monet,named,flux_2_max,nano_banana_2,linear,available,0.749455337690632,0.6127450980392157,8,1,4,0.3921568627450981,12,6,60,32,0.8333333333333334,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,named,flux_2_max,nano_banana_2,linear,available,0.8442265795206974,0.6699346405228759,8,0,5,0.33986928104575165,12,6,60,32,1.0,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,0.0645682001614205,0.5,12,0,0,0.0,12,7,60,31,1.0,3,3,6,1,2,4,21,21,18,3,11,17
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,0.6368038740920097,0.42857142857142855,12,1,1,0.0,12,7,60,31,0.8571428571428571,3,3,6,,3,4,21,21,18,4,10,17
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,0.27248677248677244,0.41666666666666663,12,1,2,0.0,12,6,60,32,0.8333333333333333,6,3,3,,2,4,18,21,21,4,11,17
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,0.5105820105820105,0.5,12,0,3,0.0,12,6,60,32,1.0,6,3,3,1,2,3,18,21,21,3,11,18
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,0.3649237472766885,0.5,12,0,4,0.0,12,6,60,32,1.0,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,0.6535947712418302,0.5,12,0,5,0.0,12,6,60,32,1.0,3,6,3,1,2,3,21,18,21,3,11,18
claude_monet,artist_free,flux_2_max,oauth_gpt_image_2,linear,available,0.9661016949152542,0.8813559322033898,2,0,0,0.7627118644067796,12,7,60,31,1.0,3,3,6,1,2,4,21,21,18,3,11,17
claude_monet,artist_free,flux_2_max,oauth_gpt_image_2,linear,available,1.0,1.0,0,0,1,1.0,12,7,60,31,1.0,3,3,6,,3,4,21,21,18,4,10,17
claude_monet,artist_free,flux_2_max,oauth_gpt_image_2,linear,available,0.7791005291005291,0.6468253968253967,2,3,2,0.7936507936507936,12,6,60,32,0.5,6,3,3,,2,4,18,21,21,4,11,17
