pipeline,status,first_feature,second_feature,pearson,n_development,weighting
jpeg90_512,descriptive,lightness_median,lightness_median,1.0,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,lightness_iqr,-0.19349579579333687,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,chroma_median,-0.03935109067759873,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,chroma_iqr,-0.028051406581863024,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,chromatic_fraction,-0.05308530021936542,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,hue_concentration,0.04430281100087075,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,hue_entropy,-0.10184957956211717,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,deltae_01,-0.23772795676160843,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,deltae_04,-0.31667449291994065,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,deltae_16,-0.3400301590543481,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,deltae_slope,-0.06577318800156143,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,spectral_slope,0.19380977334647637,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,spectral_residual,-0.023900461797844188,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,spectral_anisotropy,-0.053310738181428535,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,orientation_entropy,0.03677638873795719,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,horizontal_vertical_balance,-0.051590795846127094,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,gradient_median,0.3989615860903114,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,gradient_iqr,0.2928102062087804,221,"equal painter mass, equal works within painter"
jpeg90_512,descriptive,lightness_median,quadrant_jsd,-0.053565593962448824,221,"equal painter mass, equal works within painter"
