pipeline,metric_view,route,condition,cross_twice,energy,generated_within,interpretation,mismatched_pairs.n,reference_within,status,unverified_pairs.n,verified_payload_pairs.n
jpeg90_512,original31,flux_2_max,artist_free,12.014691518851441,0.0952278032479228,5.700654093272458,"post-result collection-label diagnostic, not an equivalence test",0,6.21880962233106,descriptive,0,72
jpeg90_512,original31,nano_banana_2,artist_free,13.557346779087792,0.07962766203410254,6.887442141994751,"post-result collection-label diagnostic, not an equivalence test",0,6.590276975058939,descriptive,0,72
jpeg90_512,original31,oauth_gpt_image_2,artist_free,11.121157805023566,0.07567078789670578,5.299774224814571,"post-result collection-label diagnostic, not an equivalence test",0,5.74571279231229,descriptive,0,72
jpeg90_512,nonredundant28,flux_2_max,artist_free,11.553765667520642,0.09340354176350907,5.469123429419813,"post-result collection-label diagnostic, not an equivalence test",0,5.991238696337319,descriptive,0,72
jpeg90_512,nonredundant28,nano_banana_2,artist_free,13.196754558505969,0.0776335162481967,6.710084415292011,"post-result collection-label diagnostic, not an equivalence test",0,6.4090366269657615,descriptive,0,72
jpeg90_512,nonredundant28,oauth_gpt_image_2,artist_free,10.80087096250643,0.07470626788519574,5.131671511466568,"post-result collection-label diagnostic, not an equivalence test",0,5.5944931831546665,descriptive,0,72
jpeg90_512,family_balanced31,flux_2_max,artist_free,3.957813674266732,0.031180810530494263,1.873912823876482,"post-result collection-label diagnostic, not an equivalence test",0,2.052720039859756,descriptive,0,72
jpeg90_512,family_balanced31,nano_banana_2,artist_free,4.383076526207644,0.025750664404040613,2.225749454642033,"post-result collection-label diagnostic, not an equivalence test",0,2.13157640716157,descriptive,0,72
jpeg90_512,family_balanced31,oauth_gpt_image_2,artist_free,3.634704120120658,0.02536971235487817,1.718597957769334,"post-result collection-label diagnostic, not an equivalence test",0,1.8907364499964459,descriptive,0,72
jpeg90_512,no_texture19,flux_2_max,artist_free,10.664720119356303,0.08136640276855545,5.075829883963888,"post-result collection-label diagnostic, not an equivalence test",0,5.5075238326238605,descriptive,0,72
jpeg90_512,no_texture19,nano_banana_2,artist_free,11.087130124273592,0.06264177557610573,5.624780109283606,"post-result collection-label diagnostic, not an equivalence test",0,5.399708239413881,descriptive,0,72
jpeg90_512,no_texture19,oauth_gpt_image_2,artist_free,9.550464782741134,0.06950945856293078,4.478350756811121,"post-result collection-label diagnostic, not an equivalence test",0,5.002604567367082,descriptive,0,72
primary512,original31,flux_2_max,artist_free,12.189619266213306,0.10174764700698447,5.782931518464682,"post-result collection-label diagnostic, not an equivalence test",0,6.304940100741639,descriptive,0,72
