cost_usd,reported_quality,request_id,status,status_code
0.068437,,slot0000,image_returned,200
0.0683495,,slot0001,image_returned,200
0.0684375,,slot0002,image_returned,200
0.0682415,,slot0003,image_returned,200
0.07,,slot0004,image_returned,200
0.07,,slot0005,image_returned,200
0.0686085,,slot0006,image_returned,200
0.0685115,,slot0007,image_returned,200
0.07,,slot0008,image_returned,200
0.07,,slot0009,image_returned,200
0.068041,,slot0010,image_returned,200
0.0684285,,slot0011,image_returned,200
0.068417,,slot0012,image_returned,200
0.0684085,,slot0013,image_returned,200
0.0,low,slot0014,image_returned,200
0.0,low,slot0015,image_returned,200
0.0,low,slot0016,image_returned,200
0.0683915,,slot0017,image_returned,200
0.0684345,,slot0018,image_returned,200
0.07,,slot0019,image_returned,200
0.07,,slot0020,image_returned,200
0.07,,slot0021,image_returned,200
0.07,,slot0022,image_returned,200
0.07,,slot0023,image_returned,200
0.07,,slot0024,image_returned,200
0.0,low,slot0025,image_returned,200
0.0,low,slot0026,image_returned,200
0.0,low,slot0027,image_returned,200
0.07,,slot0028,image_returned,200
0.07,,slot0029,image_returned,200
0.0683365,,slot0030,image_returned,200
0.068271,,slot0031,image_returned,200
0.0,low,slot0032,image_returned,200
0.0,low,slot0033,image_returned,200
0.0,low,slot0034,image_returned,200
0.0,low,slot0035,image_returned,200
0.0,,slot0036,http_error,400
0.0,low,slot0037,image_returned,200
0.07,,slot0038,image_returned,200
0.07,,slot0039,image_returned,200
0.0683025,,slot0040,image_returned,200
0.0684035,,slot0041,image_returned,200
0.07,,slot0042,image_returned,200
0.07,,slot0043,image_returned,200
0.07,,slot0044,image_returned,200
0.07,,slot0045,image_returned,200
0.0,low,slot0046,image_returned,200
0.0,low,slot0047,image_returned,200
0.0,low,slot0048,image_returned,200
0.0,low,slot0049,image_returned,200
0.0,low,slot0050,image_returned,200
0.0,low,slot0051,image_returned,200
0.068438,,slot0052,image_returned,200
0.068539,,slot0053,image_returned,200
0.0,low,slot0054,image_returned,200
0.0,low,slot0055,image_returned,200
0.0,low,slot0056,image_returned,200
0.0,low,slot0057,image_returned,200
0.0,low,slot0058,image_returned,200
0.0,low,slot0059,image_returned,200
0.0,low,slot0060,image_returned,200
0.0,low,slot0061,image_returned,200
0.0,low,slot0062,image_returned,200
0.0,low,slot0063,image_returned,200
0.0,low,slot0064,image_returned,200
