painter_id,condition,source_route,target_route,kernel,status,auc_interpretation,mean_fold_auc,original_scores.n,pooled_threshold_metrics.balanced_accuracy,pooled_threshold_metrics.generated_recall,pooled_threshold_metrics.real_specificity,target_generated_scores.n
claude_monet,artist_free,flux_2_max,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9725248856604788,38,0.924342105263158,0.9539473684210527,0.8947368421052632,72
claude_monet,artist_free,flux_2_max,nano_banana_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.8878551734567021,38,0.7017543859649124,0.5350877192982457,0.868421052631579,72
claude_monet,named,flux_2_max,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.6837861635551898,38,0.5789473684210527,0.2894736842105264,0.868421052631579,72
claude_monet,named,flux_2_max,nano_banana_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.41715989597345526,38,0.4736842105263158,0.0,0.9473684210526316,72
claude_monet,artist_free,flux_2_max,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9534357685321462,38,0.9035087719298247,0.9122807017543861,0.8947368421052632,72
claude_monet,artist_free,flux_2_max,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.9541942954206165,38,0.8832236842105263,0.8980263157894737,0.868421052631579,72
claude_monet,named,flux_2_max,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9675925925925926,38,0.8739035087719299,0.8793859649122808,0.868421052631579,72
claude_monet,named,flux_2_max,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.8959692791115189,38,0.7039473684210527,0.4605263157894738,0.9473684210526316,72
claude_monet,artist_free,nano_banana_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.8993216558437562,38,0.736842105263158,0.5789473684210528,0.8947368421052632,72
claude_monet,artist_free,nano_banana_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.8461849900035344,38,0.6387061403508772,0.33004385964912286,0.9473684210526316,72
claude_monet,named,nano_banana_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.5888483139646317,38,0.4100877192982456,0.0043859649122807015,0.8157894736842105,72
claude_monet,named,nano_banana_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.4389575981051554,38,0.44736842105263164,0.0,0.8947368421052633,72
claude_monet,artist_free,nano_banana_2,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9366809184439626,38,0.8294956140350878,0.7642543859649122,0.8947368421052632,72
claude_monet,artist_free,nano_banana_2,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.9048742221307857,38,0.7938596491228072,0.6403508771929826,0.9473684210526316,72
claude_monet,named,nano_banana_2,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.7882041705571118,38,0.6885964912280702,0.5614035087719299,0.8157894736842105,72
claude_monet,named,nano_banana_2,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.7748643399607175,38,0.6134868421052633,0.33223684210526316,0.8947368421052633,72
claude_monet,artist_free,oauth_gpt_image_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.966695812034795,38,0.881030701754386,0.8146929824561404,0.9473684210526316,72
claude_monet,artist_free,oauth_gpt_image_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.950340776611963,38,0.8486842105263158,0.75,0.9473684210526316,72
claude_monet,named,oauth_gpt_image_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9217827118292389,38,0.8125,0.7039473684210527,0.9210526315789475,72
claude_monet,named,oauth_gpt_image_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.8460005785113793,38,0.6546052631578948,0.3618421052631579,0.9473684210526316,72
claude_monet,artist_free,oauth_gpt_image_2,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9867724867724866,38,0.9205043859649124,0.8936403508771931,0.9473684210526316,72
claude_monet,artist_free,oauth_gpt_image_2,nano_banana_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.954850835500553,38,0.8711622807017545,0.7949561403508772,0.9473684210526316,72
claude_monet,named,oauth_gpt_image_2,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.8774355944512142,38,0.7664473684210527,0.611842105263158,0.9210526315789475,72
claude_monet,named,oauth_gpt_image_2,nano_banana_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.7845460531984294,38,0.605263157894737,0.26315789473684215,0.9473684210526316,72
paul_cezanne,artist_free,flux_2_max,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9667823305032609,32,0.91015625,0.9765624999999999,0.84375,72
paul_cezanne,artist_free,flux_2_max,nano_banana_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.9226221237849147,32,0.7239583333333333,0.6041666666666666,0.84375,72
paul_cezanne,named,flux_2_max,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.8663893195521103,32,0.80078125,0.8515625,0.75,72
paul_cezanne,named,flux_2_max,nano_banana_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.7474625322997417,32,0.54296875,0.2734375,0.8125,72
paul_cezanne,artist_free,flux_2_max,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9252698412698415,32,0.900390625,0.95703125,0.84375,72
paul_cezanne,artist_free,flux_2_max,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.9770264550264551,32,0.88671875,0.9296875,0.84375,72
paul_cezanne,named,flux_2_max,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.7063002337886061,32,0.61328125,0.4765625,0.75,72
paul_cezanne,named,flux_2_max,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.8065318075550634,32,0.650390625,0.48828124999999994,0.8125,72
paul_cezanne,artist_free,nano_banana_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9040986834010093,32,0.6184895833333333,0.29947916666666663,0.9375,72
paul_cezanne,artist_free,nano_banana_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.8473382551987205,32,0.6204427083333333,0.27213541666666663,0.96875,72
paul_cezanne,named,nano_banana_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.6848975021533162,32,0.5319010416666666,0.12630208333333331,0.9375,72
paul_cezanne,named,nano_banana_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.6918033714777901,32,0.5188802083333334,0.06901041666666666,0.96875,72
paul_cezanne,artist_free,nano_banana_2,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9331482711947828,32,0.755859375,0.57421875,0.9375,72
paul_cezanne,artist_free,nano_banana_2,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.9157851605758583,32,0.759765625,0.55078125,0.96875,72
paul_cezanne,named,nano_banana_2,oauth_gpt_image_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.5085913621262459,32,0.47265625,0.0078125,0.9375,72
paul_cezanne,named,nano_banana_2,oauth_gpt_image_2,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.47095016611295687,32,0.484375,0.0,0.96875,72
paul_cezanne,artist_free,oauth_gpt_image_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9103880890857637,32,0.8444010416666666,0.7825520833333333,0.90625,72
paul_cezanne,artist_free,oauth_gpt_image_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.9480179648086627,32,0.8704427083333333,0.8033854166666666,0.9375,72
paul_cezanne,named,oauth_gpt_image_2,flux_2_max,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.6261343669250646,32,0.541015625,0.17578125,0.90625,72
paul_cezanne,named,oauth_gpt_image_2,flux_2_max,rbf,available,AUC is within fold; the arithmetic mean is descriptive only,0.6291305524793896,32,0.515625,0.125,0.90625,72
paul_cezanne,artist_free,oauth_gpt_image_2,nano_banana_2,linear,available,AUC is within fold; the arithmetic mean is descriptive only,0.9214558877814693,32,0.8932291666666666,0.8802083333333333,0.90625,72
