painter_id,domain,descriptor,n_available,n_missing,status,feature,spearman,reason,route,condition
claude_monet,original,absolute_log_aspect_ratio,38,0,available,chroma_iqr,-0.302582623829753,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,chroma_median,-0.060735391039968493,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,chromatic_fraction,0.11468592758538196,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,deltae_01,-0.3192164606551137,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,deltae_04,-0.3278616784788209,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,deltae_16,-0.3808273167911539,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,deltae_slope,-0.005143357439420756,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,gradient_iqr,0.04136572578938395,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,gradient_median,0.03578463580192739,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,horizontal_vertical_balance,-0.36780477348708845,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,hue_concentration,0.22948128830777284,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,hue_entropy,-0.31582403340783616,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,lbp_entropy_16,-0.16053841199213295,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,lbp_entropy_32,-0.14696870300302287,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,lbp_entropy_8,-0.10571241035064786,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,lightness_iqr,-0.02232435994982626,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,lightness_median,0.3570803260602112,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,local_cv_01,-0.2025607366035706,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,local_cv_04,-0.17038739432293865,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,local_cv_16,-0.18745896369633522,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,orientation_entropy,-0.04103742637835709,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,quadrant_jsd,0.185598600367183,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,spectral_anisotropy,0.43641935039170154,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,spectral_residual,0.32600131514966874,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,spectral_slope,-0.16754213276070587,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,wavelet_curvature,0.2812431621130073,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,wavelet_energy_1,0.02309039190888892,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,wavelet_energy_2,0.009411249782769894,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,wavelet_energy_3,-0.000875465096071618,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,wavelet_energy_4,0.11173123288614026,,,
claude_monet,original,absolute_log_aspect_ratio,38,0,available,wavelet_slope,0.16228934218427618,,,
claude_monet,original,aspect_ratio,38,0,available,chroma_iqr,-0.2653753572467092,,,
claude_monet,original,aspect_ratio,38,0,available,chroma_median,-0.04191289147442871,,,
claude_monet,original,aspect_ratio,38,0,available,chromatic_fraction,0.1017728174183256,,,
