pipeline,metric_view,painter_id,route,condition,cell_id,domain,level,total_trace,fraction,name,trace,family
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.018098143943707398,lightness_median,0.4895191245905692,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.02529770891240208,lightness_iqr,0.6842531675880409,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.03586204497478713,chroma_median,0.9699976371438478,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.022885157714175035,chroma_iqr,0.618998412500481,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.021067920599639578,chromatic_fraction,0.569845730090184,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.02915022452163429,hue_concentration,0.78845612201081,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.028256957284364555,hue_entropy,0.764295003756153,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.03276620728603649,deltae_01,0.8862613291563859,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.019215715663975185,deltae_04,0.5197472370353747,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.022680371941215804,deltae_16,0.6134593609480449,
jpeg90_512,original31,claude_monet,flux_2_max,artist_free,jpeg90_512:flux_2_max:claude_monet:artist_free,reference,coordinates,27.04802913012368,0.023237995633482517,deltae_slope,0.628541982820122,
