after,after_energy,after_image_ids.n,after_reference_trace_ratio,before,before_energy,before_image_ids.n,before_reference_trace_ratio,distinct_briefs,energy_change,energy_term_changes.cross_twice,energy_term_changes.energy,energy_term_changes.generated_within,energy_term_changes.reference_within,excluded_pairs.n,generated_decomposition_ratios.between_brief_means,generated_decomposition_ratios.between_brief_within_class,generated_decomposition_ratios.between_class,generated_decomposition_ratios.total_trace,generated_decomposition_ratios.within_brief,generated_decomposition_ratios.within_class,generated_squared_iqr_sum_ratio,generated_total_trace_ratio,metric_view,n_pairs,n_reference,painter_id,pipeline,route,status,target.built,target.land,target.water
named,1.43982479604351,72,0.3541591126379694,artist_free,1.9840158616809704,72,1.0592425110316421,24,-0.5441910656374604,-3.26498731957445,-0.5441910656374604,-2.7207962539369897,0.0,0,0.33623289778974796,0.27721721372062685,0.6401258401651317,0.33435130194410206,0.327982974063469,0.29045764466909485,0.38547528207668746,0.334351301944102,original31,72,38,claude_monet,jpeg90_512,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,0.8290030281895717,72,0.44167044628119234,artist_free,1.6941876896027512,72,0.9731603557954943,24,-0.8651846614131795,-2.4563648359129004,-0.8651846614131795,-1.591180174499721,0.0,0,0.4445312256295078,0.4116718162965293,0.65949600348671,0.4538516634498083,0.48145825384533814,0.4312241494917251,0.5998943015720922,0.45385166344980826,original31,72,32,paul_cezanne,jpeg90_512,flux_2_max,descriptive,0.34375,0.5625,0.09375
named,3.420628065666567,72,0.7965625710763615,artist_free,4.228570644350492,72,1.1513140900575694,24,-0.8079425786839245,-1.9697637815033566,-0.8079425786839245,-1.1618212028194321,0.0,0,0.6696689082526082,0.6301557804174984,0.8786524953482227,0.6918725115546276,0.7848442520454672,0.6643680716765709,0.8373639231549799,0.6918725115546278,original31,72,38,claude_monet,jpeg90_512,nano_banana_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,3.0025532465549816,72,0.6645322298333084,artist_free,4.77270295675109,72,1.524934482295602,24,-1.7701497101961081,-3.7486983815269,-1.7701497101961081,-1.9785486713307918,0.0,0,0.35805244646717643,0.35745984779268053,0.363342989809355,0.43577756129754297,0.6969694131574633,0.44187373564948185,0.5661860703973535,0.43577756129754286,original31,72,32,paul_cezanne,jpeg90_512,nano_banana_2,descriptive,0.34375,0.5625,0.09375
named,2.3916557676842523,72,0.49052410340593416,artist_free,2.5581079062197496,72,0.8715441385436073,24,-0.16645213853549734,-1.748730801429991,-0.16645213853549734,-1.5822786628944936,0.0,0,0.520669207508086,0.5075969340021075,0.56345365649371,0.5628218717936924,0.8786041716223282,0.5626574854599201,0.5040815776562384,0.5628218717936924,original31,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,1.9564384150318084,72,0.47439203111094275,artist_free,1.9971901349114605,72,0.7169902296953016,24,-0.04075171987965209,-0.9695747016015783,-0.04075171987965209,-0.9288229817219262,0.0,0,0.5925182520675434,0.5946499170220875,0.581025484637932,0.6616436479372173,1.1539063020380704,0.6744626393853766,0.5154579514739499,0.6616436479372174,original31,72,32,paul_cezanne,jpeg90_512,oauth_gpt_image_2,descriptive,0.34375,0.5625,0.09375
named,1.1564495420006216,72,0.370690603736079,artist_free,1.9978188941448938,72,1.108991046726757,24,-0.8413693521442722,-3.4647096639208286,-0.8413693521442722,-2.6233403117765564,0.0,0,0.3366386157083847,0.27568788607357353,0.6573250034747193,0.33425932953218235,0.3260827676349421,0.288650490792155,0.3946575315528834,0.33425932953218246,nonredundant28,72,38,claude_monet,jpeg90_512,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,0.7419829384714798,72,0.428007630324012,artist_free,1.5459798427470082,72,0.9931050924232432,24,-0.8039969042755284,-2.399382079093497,-0.8039969042755284,-1.5953851748179688,0.0,0,0.43034815099649304,0.40026670717520696,0.6488330564576036,0.43097919202049867,0.43276914938130145,0.4095710882969441,0.6037690300274564,0.4309791920204986,nonredundant28,72,32,paul_cezanne,jpeg90_512,flux_2_max,descriptive,0.34375,0.5625,0.09375
named,3.232208848880287,72,0.8447129781025202,artist_free,4.186665350464542,72,1.210899179350241,24,-0.9544565015842554,-2.0628082921634743,-0.9544565015842554,-1.1083517905792188,0.0,0,0.6767702543423484,0.6327500999925022,0.9104174642460777,0.6975915026681134,0.7855765533988349,0.6662955364398682,0.8700309301038327,0.6975915026681136,nonredundant28,72,38,claude_monet,jpeg90_512,nano_banana_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,2.811564350872241,72,0.6907874638158674,artist_free,4.5697527855215405,72,1.5957905388268312,24,-1.7581884346492993,-3.691934902279243,-1.7581884346492993,-1.9337464676299438,0.0,0,0.35741414416455797,0.35764724475175996,0.35535619356787407,0.43288103733445493,0.6816428165978037,0.4394452114509316,0.5706092526553336,0.4328810373344549,nonredundant28,72,32,paul_cezanne,jpeg90_512,nano_banana_2,descriptive,0.34375,0.5625,0.09375
named,1.6310142437771145,72,0.5215712567402429,artist_free,2.423505533177737,72,0.9297119077342915,24,-0.7924912894006226,-2.351364107073362,-0.7924912894006226,-1.5588728176727393,0.0,0,0.5206249876610862,0.5066202411556554,0.5657235579176676,0.5610030939705961,0.8687680690011983,0.5597522822397011,0.5061198930630004,0.561003093970596,nonredundant28,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,1.6817971519631163,72,0.5020978408827887,artist_free,1.6296514326294567,72,0.734302477276557,24,0.052145719333659635,-0.7921785530000385,0.052145719333659635,-0.8443242723336981,0.0,0,0.6132767353606347,0.6190284632446952,0.5817633380100766,0.6837752239989868,1.1938974389424306,0.6997787718378115,0.5334766364250418,0.6837752239989869,nonredundant28,72,32,paul_cezanne,jpeg90_512,oauth_gpt_image_2,descriptive,0.34375,0.5625,0.09375
named,0.42892499125241335,72,0.39048412963139506,artist_free,0.6547769535909596,72,1.2445913570278992,24,-0.2258519623385462,-1.158174337636933,-0.2258519623385462,-0.9323223752983867,0.0,0,0.31610755565045173,0.2571721260569383,0.6321240216245598,0.3137448508110135,0.3053371275139876,0.2692158335975104,0.37248148541388054,0.3137448508110135,family_balanced31,72,38,claude_monet,jpeg90_512,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,0.25579725240730955,72,0.48457489817271787,artist_free,0.5197587152569638,72,1.1310176592487657,24,-0.26396146284965427,-0.8134590293141857,-0.26396146284965427,-0.5494975664645314,0.0,0,0.4213945777185807,0.3898624395560051,0.6444010902671655,0.4284414962137531,0.44984827191473087,0.4062455890335444,0.5852218825707858,0.42844149621375305,family_balanced31,72,32,paul_cezanne,jpeg90_512,flux_2_max,descriptive,0.34375,0.5625,0.09375
named,1.0353631800338117,72,0.8705092137130527,artist_free,1.2623348880397107,72,1.2746946414885678,24,-0.22697170800589905,-0.6168922954607128,-0.22697170800589905,-0.3899205874548137,0.0,0,0.659769917396766,0.6099058226183816,0.9015735406054753,0.682915880697895,0.7822384810390675,0.6477186431826182,0.8176314386309904,0.6829158806978949,family_balanced31,72,38,claude_monet,jpeg90_512,nano_banana_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,0.8851937565153996,72,0.7167619754612572,artist_free,1.4368266839814918,72,1.6235249070539128,24,-0.5516329274660923,-1.1761248479983317,-0.5516329274660923,-0.6244919205322395,0.0,0,0.35541936541899316,0.35678610114116666,0.344157168538437,0.4414850504276592,0.7450344038073035,0.4504470162997549,0.5943188676101041,0.441485050427659,family_balanced31,72,32,paul_cezanne,jpeg90_512,nano_banana_2,descriptive,0.34375,0.5625,0.09375
named,0.707728557943035,72,0.5702494513702122,artist_free,0.7987790633720202,72,1.0219817461946719,24,-0.09105050542898518,-0.6226909957899052,-0.09105050542898518,-0.53164049036092,0.0,0,0.5164925998207848,0.5095249839597616,0.5375152716321296,0.5579839889445426,0.8721945446800561,0.5637536169251837,0.48913562979590114,0.5579839889445427,family_balanced31,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,0.5731382439338821,72,0.5513769127785716,artist_free,0.5923340950699314,72,0.7731570901888479,24,-0.01919585113604927,-0.28422136868467573,-0.01919585113604927,-0.26502551754862647,0.0,0,0.6417528315716369,0.6525413587645632,0.587926246597687,0.7131499145198222,1.2347765608607018,0.734706698825263,0.5526796476918929,0.7131499145198226,family_balanced31,72,32,paul_cezanne,jpeg90_512,oauth_gpt_image_2,descriptive,0.34375,0.5625,0.09375
named,1.1963717396756328,72,0.5250459157028873,artist_free,1.8996863565730209,72,1.7036671037136943,24,-0.7033146168973881,-3.220741853153946,-0.7033146168973881,-2.517427236256558,0.0,0,0.3137042015848384,0.2518405990214131,0.6530438890057498,0.308185745066263,0.2859978206723461,0.25960235667542075,0.3657201100725983,0.308185745066263,no_texture19,72,38,claude_monet,jpeg90_512,flux_2_max,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,0.6885857317555866,72,0.6809352123894888,artist_free,1.3408710887004567,72,1.6694151864191376,24,-0.6522853569448701,-2.2008678054393043,-0.6522853569448701,-1.5485824484944346,0.0,0,0.40835651103525766,0.3735693321565173,0.6616340764645444,0.40788847371760234,0.4063531655066432,0.3820096902581752,0.5443264485939924,0.40788847371760245,no_texture19,72,32,paul_cezanne,jpeg90_512,flux_2_max,descriptive,0.34375,0.5625,0.09375
named,2.195077601236438,72,1.1074074913258947,artist_free,2.2078330442982264,72,1.5331396135931792,24,-0.01275544306178844,-0.877869001154604,-0.01275544306178844,-0.8651135580928155,0.0,0,0.7003614412274342,0.6378220924895336,0.9662847338417581,0.7223135332929611,0.8292270372961227,0.6765444979269729,0.864031216498386,0.7223135332929613,no_texture19,72,38,claude_monet,jpeg90_512,nano_banana_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
named,1.8873886483307079,72,0.9455141521431786,artist_free,2.602732740526081,72,1.8965834618791588,24,-0.7153440921953731,-2.065233239077969,-0.7153440921953731,-1.349889146882596,0.0,0,0.3831071379770919,0.38658233384021135,0.35732099353514185,0.4985354829606871,1.0465839278175717,0.5138957996289398,0.6792707050819696,0.49853548296068717,no_texture19,72,32,paul_cezanne,jpeg90_512,nano_banana_2,descriptive,0.34375,0.5625,0.09375
named,1.410266989355537,72,0.7890923067100424,artist_free,1.7765243834217213,72,1.3843523142311844,24,-0.3662573940661842,-1.734237614266256,-0.3662573940661842,-1.3679802202000717,0.0,0,0.5306116341285204,0.5300534037762289,0.5321508150799789,0.5700082981753627,0.8730586029703026,0.5816722058689227,0.48919520315731857,0.5700082981753627,no_texture19,72,38,claude_monet,jpeg90_512,oauth_gpt_image_2,descriptive,0.10526315789473684,0.34210526315789475,0.5526315789473685
