omitted_development_painter,feature,iqr_relative_to_frozen_scale,status,reason
alfred_sisley,lightness_median,0.8539035857719861,descriptive,
alfred_sisley,lightness_iqr,1.0,descriptive,
alfred_sisley,chroma_median,1.0384203349831578,descriptive,
alfred_sisley,chroma_iqr,1.097717940545313,descriptive,
alfred_sisley,chromatic_fraction,0.8703726415155204,descriptive,
alfred_sisley,hue_concentration,0.9948876615668788,descriptive,
alfred_sisley,hue_entropy,0.9883450331681656,descriptive,
alfred_sisley,deltae_01,0.9295209203690867,descriptive,
alfred_sisley,deltae_04,0.9155585235375914,descriptive,
alfred_sisley,deltae_16,0.9786675459169145,descriptive,
alfred_sisley,deltae_slope,1.0720229508630417,descriptive,
alfred_sisley,spectral_slope,0.9524894019689858,descriptive,
alfred_sisley,spectral_residual,1.0476435714393035,descriptive,
alfred_sisley,spectral_anisotropy,1.0150241294189848,descriptive,
alfred_sisley,orientation_entropy,1.0583425841783805,descriptive,
alfred_sisley,horizontal_vertical_balance,1.0736078022529953,descriptive,
alfred_sisley,gradient_median,0.9731743105248813,descriptive,
alfred_sisley,gradient_iqr,0.9990796220878262,descriptive,
alfred_sisley,quadrant_jsd,1.116304370164945,descriptive,
alfred_sisley,wavelet_energy_1,0.8298816328290382,descriptive,
alfred_sisley,wavelet_energy_2,0.9710737073963119,descriptive,
alfred_sisley,wavelet_energy_3,0.9695015855884626,descriptive,
alfred_sisley,wavelet_energy_4,0.9806990138799339,descriptive,
alfred_sisley,wavelet_slope,0.9162470324338257,descriptive,
alfred_sisley,wavelet_curvature,0.9731924759151841,descriptive,
alfred_sisley,lbp_entropy_8,1.0556658298919939,descriptive,
alfred_sisley,lbp_entropy_16,1.0254299778568063,descriptive,
alfred_sisley,lbp_entropy_32,1.0261547890385079,descriptive,
alfred_sisley,local_cv_01,0.8299791002674248,descriptive,
alfred_sisley,local_cv_04,1.0266555892121134,descriptive,
alfred_sisley,local_cv_16,1.0322590096108775,descriptive,
camille_pissarro,lightness_median,0.9769095943795107,descriptive,
camille_pissarro,lightness_iqr,1.1052380942458573,descriptive,
camille_pissarro,chroma_median,0.9365442766072536,descriptive,
camille_pissarro,chroma_iqr,1.0275437458995191,descriptive,
camille_pissarro,chromatic_fraction,0.9114758081383811,descriptive,
camille_pissarro,hue_concentration,1.142020150076665,descriptive,
camille_pissarro,hue_entropy,1.0061487281139758,descriptive,
camille_pissarro,deltae_01,1.024817810532491,descriptive,
camille_pissarro,deltae_04,1.0105469773710845,descriptive,
camille_pissarro,deltae_16,0.991317014911927,descriptive,
camille_pissarro,deltae_slope,1.0467678991382754,descriptive,
camille_pissarro,spectral_slope,0.9576176990999767,descriptive,
camille_pissarro,spectral_residual,1.005408543647386,descriptive,
camille_pissarro,spectral_anisotropy,0.927507909516971,descriptive,
camille_pissarro,orientation_entropy,1.0813325899002435,descriptive,
camille_pissarro,horizontal_vertical_balance,1.0322411970605283,descriptive,
camille_pissarro,gradient_median,1.0192582913739245,descriptive,
camille_pissarro,gradient_iqr,1.0053150984749628,descriptive,
camille_pissarro,quadrant_jsd,1.0714060547579136,descriptive,
camille_pissarro,wavelet_energy_1,1.0515014194182875,descriptive,
camille_pissarro,wavelet_energy_2,1.001958763117019,descriptive,
camille_pissarro,wavelet_energy_3,1.0054119904047214,descriptive,
camille_pissarro,wavelet_energy_4,0.9730387417077373,descriptive,
camille_pissarro,wavelet_slope,1.0331809379288879,descriptive,
camille_pissarro,wavelet_curvature,0.8928716053444771,descriptive,
camille_pissarro,lbp_entropy_8,0.8996390042053914,descriptive,
camille_pissarro,lbp_entropy_16,1.002422516136778,descriptive,
camille_pissarro,lbp_entropy_32,1.0591651446166823,descriptive,
camille_pissarro,local_cv_01,0.8670804592053967,descriptive,
camille_pissarro,local_cv_04,0.9952489923724053,descriptive,
camille_pissarro,local_cv_16,0.9836957344750227,descriptive,
claude_monet,lightness_median,0.962902554095445,descriptive,
claude_monet,lightness_iqr,0.9219439893539262,descriptive,
claude_monet,chroma_median,1.0333483785909832,descriptive,
claude_monet,chroma_iqr,1.0903489661157206,descriptive,
claude_monet,chromatic_fraction,1.009516574809385,descriptive,
claude_monet,hue_concentration,0.924668995980834,descriptive,
claude_monet,hue_entropy,0.9583817632082626,descriptive,
claude_monet,deltae_01,0.9807446940111728,descriptive,
claude_monet,deltae_04,1.0074216350863023,descriptive,
claude_monet,deltae_16,1.0084700050679927,descriptive,
claude_monet,deltae_slope,0.944898384904966,descriptive,
claude_monet,spectral_slope,0.9744971735448087,descriptive,
claude_monet,spectral_residual,0.9576095077384329,descriptive,
claude_monet,spectral_anisotropy,1.004353943245571,descriptive,
claude_monet,orientation_entropy,0.9121885609856855,descriptive,
claude_monet,horizontal_vertical_balance,1.0011038452346053,descriptive,
claude_monet,gradient_median,0.9788166853244221,descriptive,
claude_monet,gradient_iqr,1.0103808528545337,descriptive,
claude_monet,quadrant_jsd,0.9463829271104982,descriptive,
claude_monet,wavelet_energy_1,0.9343901266350468,descriptive,
claude_monet,wavelet_energy_2,1.0020334528483295,descriptive,
claude_monet,wavelet_energy_3,0.9829479329359652,descriptive,
claude_monet,wavelet_energy_4,1.009735341798876,descriptive,
claude_monet,wavelet_slope,0.933805686837551,descriptive,
claude_monet,wavelet_curvature,0.9503337456998755,descriptive,
claude_monet,lbp_entropy_8,0.9318177711690867,descriptive,
claude_monet,lbp_entropy_16,0.9569963871188938,descriptive,
claude_monet,lbp_entropy_32,0.9980199439363586,descriptive,
claude_monet,local_cv_01,0.9454031942807042,descriptive,
claude_monet,local_cv_04,0.925870848410961,descriptive,
claude_monet,local_cv_16,0.8715189183202479,descriptive,
paul_cezanne,lightness_median,0.9998876945659942,descriptive,
paul_cezanne,lightness_iqr,0.9513976539700018,descriptive,
paul_cezanne,chroma_median,1.0178810464413564,descriptive,
paul_cezanne,chroma_iqr,0.8339590498258691,descriptive,
paul_cezanne,chromatic_fraction,1.1105975423810164,descriptive,
paul_cezanne,hue_concentration,1.239426436098155,descriptive,
paul_cezanne,hue_entropy,1.0397798077177287,descriptive,
paul_cezanne,deltae_01,1.1285051784189621,descriptive,
paul_cezanne,deltae_04,0.9824140275695398,descriptive,
paul_cezanne,deltae_16,1.1092158150527913,descriptive,
paul_cezanne,deltae_slope,0.9571864330193599,descriptive,
paul_cezanne,spectral_slope,0.8452091934052494,descriptive,
paul_cezanne,spectral_residual,0.9431816466171659,descriptive,
paul_cezanne,spectral_anisotropy,0.9429057268145224,descriptive,
paul_cezanne,orientation_entropy,0.8179012165903793,descriptive,
paul_cezanne,horizontal_vertical_balance,0.9180104429164716,descriptive,
paul_cezanne,gradient_median,1.155688903562773,descriptive,
paul_cezanne,gradient_iqr,1.0698954930190219,descriptive,
paul_cezanne,quadrant_jsd,0.9165880872628482,descriptive,
paul_cezanne,wavelet_energy_1,0.9419914101034077,descriptive,
paul_cezanne,wavelet_energy_2,1.0142337050483254,descriptive,
paul_cezanne,wavelet_energy_3,0.9896916554925299,descriptive,
paul_cezanne,wavelet_energy_4,1.022827537401698,descriptive,
paul_cezanne,wavelet_slope,1.0588395532584118,descriptive,
paul_cezanne,wavelet_curvature,1.0666511228288842,descriptive,
paul_cezanne,lbp_entropy_8,1.1476396960435642,descriptive,
paul_cezanne,lbp_entropy_16,0.976240507313487,descriptive,
paul_cezanne,lbp_entropy_32,0.8298749546144457,descriptive,
paul_cezanne,local_cv_01,1.1885492792175736,descriptive,
paul_cezanne,local_cv_04,1.1134237798052984,descriptive,
paul_cezanne,local_cv_16,1.0483818317261158,descriptive,
