painter_id,route,condition,k,status,content_class,cross_class_anchor_neighbors,cross_class_hit_count,generated_hit_count,hit,image_id,nearest_generated_content_class,nearest_generated_distance,nearest_generated_image_id,neighbor_image_ids.n,radius,same_class_hit_count
claude_monet,flux_2_max,artist_free,1,available,land,1,0,0,False,wikidata:Q105099583,land,4.451320795054384,generated:slot0346,1,3.058875435148465,0
claude_monet,flux_2_max,artist_free,1,available,water,0,1,1,True,wikidata:Q105099601,built,4.172586885308368,generated:slot0282,1,5.144486552200364,0
claude_monet,flux_2_max,artist_free,1,available,land,0,3,9,True,wikidata:Q105099613,land,2.8081861941158643,generated:slot0897,1,3.774076896455879,6
claude_monet,flux_2_max,artist_free,1,available,water,1,7,7,True,wikidata:Q105099626,land,3.139840477217704,generated:slot0101,1,4.033978126320377,0
claude_monet,flux_2_max,artist_free,1,available,land,1,0,0,False,wikidata:Q106879983,water,9.145222470559366,generated:slot0327,1,7.699453682305127,0
claude_monet,flux_2_max,artist_free,1,available,built,1,0,0,False,wikidata:Q106925109,water,5.029747418040629,generated:slot0194,1,3.9396207222685558,0
claude_monet,flux_2_max,artist_free,1,available,water,1,0,0,False,wikidata:Q113520917,built,4.408674239763205,generated:slot0174,1,3.1947041805336136,0
claude_monet,flux_2_max,artist_free,1,available,built,1,1,1,True,wikidata:Q116143411,water,7.200433057471457,generated:slot0327,1,7.699453682305127,0
claude_monet,flux_2_max,artist_free,1,available,water,0,0,0,False,wikidata:Q117435199,land,4.9604963816756245,generated:slot0617,1,3.9294511309544484,0
claude_monet,flux_2_max,artist_free,1,available,built,1,0,0,False,wikidata:Q117435200,built,4.711829746929966,generated:slot0174,1,2.9699119510316065,0
claude_monet,flux_2_max,artist_free,1,available,water,0,13,15,True,wikidata:Q17492292,land,2.635606658010362,generated:slot0617,1,4.083828188679182,2
claude_monet,flux_2_max,artist_free,1,available,water,1,0,0,False,wikidata:Q17493461,built,3.468250907263729,generated:slot0174,1,3.2436386159514106,0
claude_monet,flux_2_max,artist_free,1,available,water,0,0,0,False,wikidata:Q17493907,water,6.083568461018245,generated:slot0857,1,3.865945869007607,0
claude_monet,flux_2_max,artist_free,1,available,land,0,6,10,True,wikidata:Q19967292,built,2.845257310611226,generated:slot0987,1,3.979970795640846,4
claude_monet,flux_2_max,artist_free,1,available,water,1,0,0,False,wikidata:Q20538824,water,4.029234818446809,generated:slot0093,1,3.3104134778997816,0
