pipeline,metric_view,route,condition,cross_twice,energy,generated_squared_iqr_sum,generated_trace,generated_weight_effective_size,generated_within,n_generated,n_reference,prompt_painter,reference_painter,reference_squared_iqr_sum,reference_trace,reference_weight_effective_size,reference_within,squared_iqr_sum_ratio,status,target.built,target.land,target.water,trace_ratio
jpeg90_512,original31,flux_2_max,artist_free,15.418591735778111,2.0687700718336774,30.17397113481979,24.753247494071953,72.0,6.21880962233106,72,38,claude_monet,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.6791916806490967,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8311910511846641
jpeg90_512,original31,flux_2_max,artist_free,13.2465176422021,1.8799090161821272,30.17397113481979,24.753247494071953,72.0,6.21880962233106,72,32,claude_monet,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.4755836131735869,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.551494173012216
jpeg90_512,original31,flux_2_max,artist_free,15.030041266764599,2.198375131878765,28.787288331528664,19.217389459100175,72.0,5.700654093272458,72,38,paul_cezanne,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.6479785725206918,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6453020820544835
jpeg90_512,original31,flux_2_max,artist_free,12.79552392768975,1.9470708307283795,28.787288331528664,19.217389459100175,72.0,5.700654093272458,72,32,paul_cezanne,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.4077713119002953,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2045153983710917
jpeg90_512,original31,flux_2_max,named,12.522808783943063,1.5528864723010019,14.20549233990125,8.482137178425537,72.0,3.838910270028686,72,38,claude_monet,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.31975414086784315,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.28482228520990965
jpeg90_512,original31,flux_2_max,named,11.30013191915322,2.3134226454356215,14.20549233990125,8.482137178425537,72.0,3.838910270028686,72,32,claude_monet,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,0.6946845551142066,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5316468641203191
jpeg90_512,original31,flux_2_max,named,13.275741077251244,2.1263910987846533,18.215666936267137,9.05186223683205,72.0,4.018337936853215,72,38,paul_cezanne,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.4100199269532227,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.30395312330687296
jpeg90_512,original31,flux_2_max,named,10.286667182830627,1.120530242288499,18.215666936267137,9.05186223683205,72.0,4.018337936853215,72,32,paul_cezanne,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,0.890792249852937,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5673563244062245
jpeg90_512,original31,nano_banana_2,artist_free,18.24988870066385,4.528599683991536,40.30919752134732,26.408595809931683,72.0,6.590276975058939,72,38,claude_monet,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.9073274275969377,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8867761095518832
jpeg90_512,original31,nano_banana_2,artist_free,15.865972097433161,4.127896118685309,40.30919752134732,26.408595809931683,72.0,6.590276975058939,72,32,claude_monet,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.9712218539918975,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.655248771958355
jpeg90_512,original31,nano_banana_2,artist_free,18.732125768052637,4.713671584444511,43.61876347104628,30.520077863435578,72.0,6.887442141994751,72,38,paul_cezanne,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.9818230798116089,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0248358566940394
jpeg90_512,original31,nano_banana_2,artist_free,16.44797326222502,4.412732116541355,43.61876347104628,30.520077863435578,72.0,6.887442141994751,72,32,paul_cezanne,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,2.133068011405948,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.91294992611937
jpeg90_512,original31,nano_banana_2,named,16.654660088182872,3.7681963944265604,35.144134320859116,19.99313122855161,72.0,5.755451652142938,72,38,claude_monet,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.7910660332937468,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6713507698863572
jpeg90_512,original31,nano_banana_2,named,14.528358180011598,3.6251075241797466,35.144134320859116,19.99313122855161,72.0,5.755451652142938,72,32,claude_monet,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.7186371814079375,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2531376583535172
jpeg90_512,original31,nano_banana_2,named,15.523872930704057,3.6193002372811787,21.388836809891377,13.397031907302537,72.0,4.773560651809502,72,38,paul_cezanne,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.4814454138346928,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.44985988349415856
jpeg90_512,original31,nano_banana_2,named,12.563200626295961,2.6418409707975465,21.388836809891377,13.397031907302537,72.0,4.773560651809502,72,32,paul_cezanne,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.0459682936827408,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8397046466253137
jpeg90_512,original31,oauth_gpt_image_2,artist_free,15.516053074031234,2.63932824010557,36.61838302346206,19.531483325413692,72.0,5.74571279231229,72,38,claude_monet,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.8242501789781767,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6558490622426107
jpeg90_512,original31,oauth_gpt_image_2,artist_free,12.989749544404145,2.0962377484029426,36.61838302346206,19.531483325413692,72.0,5.74571279231229,72,32,claude_monet,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.7907316769446224,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.224202302220011
jpeg90_512,original31,oauth_gpt_image_2,artist_free,15.016624918879073,2.5858386524511268,31.249600873284997,16.456493993898782,72.0,5.299774224814571,72,38,paul_cezanne,claude_monet,44.42629672080616,29.78045475681207,24.029339853300737,7.131012041613375,0.7034032359183763,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5525937776398285
jpeg90_512,original31,oauth_gpt_image_2,artist_free,12.447143822945197,1.999570594441714,31.249600873284997,16.456493993898782,72.0,5.299774224814571,72,32,paul_cezanne,paul_cezanne,20.44883859202233,15.95445727392819,18.757894736842108,5.147799003688912,1.5281846317412056,descriptive,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0314668629180506
