painter_id,route,condition,auc,balanced_accuracy,generated_recall,generated_square_n,original_square_n,real_specificity,rule,status
claude_monet,flux_2_max,artist_free,0.9999999999999996,1.0,1.0,72,0,1.0,predict generated exactly when delivered width equals height,available
claude_monet,flux_2_max,named,0.9999999999999996,1.0,1.0,72,0,1.0,predict generated exactly when delivered width equals height,available
claude_monet,nano_banana_2,artist_free,0.9999999999999998,1.0,1.0,72,0,1.0,predict generated exactly when delivered width equals height,available
claude_monet,nano_banana_2,named,0.9999999999999998,1.0,1.0,72,0,1.0,predict generated exactly when delivered width equals height,available
claude_monet,oauth_gpt_image_2,artist_free,0.5115131578947366,0.5115131578947368,0.023026315789473686,1,0,1.0,predict generated exactly when delivered width equals height,available
claude_monet,oauth_gpt_image_2,generic_named,0.5071271929824561,0.5071271929824561,0.014254385964912282,1,0,1.0,predict generated exactly when delivered width equals height,available
claude_monet,oauth_gpt_image_2,named,0.5071271929824559,0.5071271929824561,0.014254385964912282,1,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,flux_2_max,artist_free,0.9999999999999998,1.0,1.0,72,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,flux_2_max,named,0.9999999999999998,1.0,1.0,72,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,nano_banana_2,artist_free,0.9999999999999998,1.0,0.9999999999999999,72,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,nano_banana_2,named,0.9999999999999998,1.0,0.9999999999999999,72,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,oauth_gpt_image_2,artist_free,0.5019531249999998,0.501953125,0.00390625,1,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,oauth_gpt_image_2,generic_named,0.5117187500000001,0.51171875,0.0234375,1,0,1.0,predict generated exactly when delivered width equals height,available
paul_cezanne,oauth_gpt_image_2,named,0.5058593749999998,0.505859375,0.01171875,3,0,1.0,predict generated exactly when delivered width equals height,available
