painter_id,route,condition,k,status,mode,size_label,sample_size,reference_n,draw,coverage,class_n.built,class_n.land,class_n.water
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,0,0.15789473684210525,7,6,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,1,0.15789473684210525,7,8,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,2,0.23684210526315788,10,5,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,3,0.3157894736842105,9,3,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,4,0.13157894736842105,10,5,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,5,0.23684210526315788,6,8,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,6,0.2894736842105263,6,7,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,7,0.23684210526315788,7,5,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,8,0.13157894736842105,7,7,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,9,0.21052631578947367,5,9,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,10,0.23684210526315788,8,6,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,11,0.2631578947368421,6,8,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,12,0.23684210526315788,8,4,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,13,0.21052631578947367,5,8,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,14,0.21052631578947367,6,3,10
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,15,0.21052631578947367,10,5,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,16,0.21052631578947367,6,6,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,17,0.23684210526315788,6,7,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,18,0.18421052631578946,8,6,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,19,0.18421052631578946,8,5,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,20,0.23684210526315788,6,5,8
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,21,0.21052631578947367,4,7,8
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,22,0.21052631578947367,5,10,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,23,0.15789473684210525,7,6,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,24,0.21052631578947367,4,7,8
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,25,0.21052631578947367,5,8,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,26,0.15789473684210525,9,5,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,27,0.2631578947368421,3,12,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,28,0.18421052631578946,9,6,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,29,0.2631578947368421,5,8,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,30,0.2894736842105263,7,8,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,31,0.34210526315789475,5,6,8
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,32,0.15789473684210525,7,6,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,33,0.3157894736842105,5,9,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,34,0.23684210526315788,9,4,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,35,0.13157894736842105,6,8,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,36,0.2894736842105263,6,7,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,37,0.2894736842105263,9,4,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,38,0.15789473684210525,7,5,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,39,0.2631578947368421,6,6,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,40,0.18421052631578946,10,4,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,41,0.23684210526315788,8,4,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,42,0.15789473684210525,5,5,9
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,43,0.2894736842105263,8,7,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,44,0.34210526315789475,5,7,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,45,0.23684210526315788,4,6,9
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,46,0.15789473684210525,7,8,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,47,0.18421052631578946,8,7,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,48,0.23684210526315788,6,8,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,49,0.18421052631578946,7,5,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,50,0.21052631578947367,4,6,9
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,51,0.18421052631578946,9,1,9
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,52,0.23684210526315788,5,10,4
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,53,0.21052631578947367,7,7,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,54,0.21052631578947367,6,11,2
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,55,0.21052631578947367,8,6,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,56,0.18421052631578946,7,5,7
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,57,0.23684210526315788,6,8,5
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,58,0.21052631578947367,7,6,6
claude_monet,flux_2_max,artist_free,1,available,uniform,half_reference_n,19,38,59,0.2631578947368421,6,7,6
