after_between_brief,after_cross_repeat_between,after_total,after_within_brief,before_between_brief,before_cross_repeat_between,before_total,before_within_brief,cell_id,change_between_brief,change_cross_repeat_between,change_total,change_within_brief,family,painter_id,route,scope
4.280485447133084,3.8127698975326023,5.244016083988662,0.9635306368555778,4.150331922299354,3.7322700154375172,5.004026817705068,0.8536948954057142,primary512:nano_banana_2:claude_monet:named_minus_artist_free,0.13015352483373027,0.08049988209508518,0.23998926628359335,0.10983574144986347,color,claude_monet,nano_banana_2,all_briefs
6.506635712630564,5.645216829091059,8.276288195685446,1.7696524830548817,9.949436388267213,8.750518136599489,12.427230594048599,2.4777942057813847,primary512:nano_banana_2:claude_monet:named_minus_artist_free,-3.442800675636648,-3.105301307508429,-4.150942398363152,-0.708141722726503,spatial,claude_monet,nano_banana_2,all_briefs
4.051086256210814,3.345481002801487,5.50351071295945,1.4524244567486362,6.209888987302929,5.3326058295980765,8.01683870278129,1.8069497154783614,primary512:nano_banana_2:claude_monet:named_minus_artist_free,-2.1588027310921145,-1.987124826796589,-2.513327989821841,-0.35452525872972523,texture,claude_monet,nano_banana_2,all_briefs
2.5903995480724644,2.1640168895809286,3.536785038079579,0.9463854900071154,2.071949835004789,1.7389415492984561,2.7669409528229365,0.6949911178181474,primary512:nano_banana_2:claude_monet:named_minus_artist_free,0.5184497130676753,0.4250753402824726,0.7698440852566429,0.2513943721889681,color,claude_monet,nano_banana_2,built
2.0093363204571806,1.4828148530231855,3.2512995330661107,1.2419632126089306,3.3656633896384114,2.5390028373004876,5.167334878809392,1.80167148917098,primary512:nano_banana_2:claude_monet:named_minus_artist_free,-1.3563270691812312,-1.0561879842773019,-1.916035345743281,-0.5597082765620496,spatial,claude_monet,nano_banana_2,built
3.2181314163495793,2.222018585760477,5.540168561015918,2.322037144666337,2.9868737006178896,2.5352444113290877,3.9678134709664836,0.9809397703485944,primary512:nano_banana_2:claude_monet:named_minus_artist_free,0.23125771573168996,-0.31322582556861106,1.5723550900494332,1.3410973743177428,texture,claude_monet,nano_banana_2,built
4.708884388364686,4.202888419762425,5.787121949007953,1.0782375606432677,4.140901742317493,3.7122862939557066,5.070303335218057,0.9294015929005633,primary512:nano_banana_2:claude_monet:named_minus_artist_free,0.5679826460471914,0.4906021258067186,0.716818613789896,0.1488359677427043,color,claude_monet,nano_banana_2,land
3.8508467302232674,3.1725680882069964,5.338813353637558,1.4879666234142919,6.484979357054121,5.216756920599319,9.329918894924816,2.8449395378706965,primary512:nano_banana_2:claude_monet:named_minus_artist_free,-2.634132626830854,-2.044188832392322,-3.991105541287258,-1.3569729144564047,spatial,claude_monet,nano_banana_2,land
4.089602340106951,3.498206733366149,5.396675848063448,1.3070735079564977,6.8181389038995395,5.332570249089649,10.084740104655989,3.266601200756449,primary512:nano_banana_2:claude_monet:named_minus_artist_free,-2.728536563792588,-1.8343635157235003,-4.688064256592541,-1.9595276927999512,texture,claude_monet,nano_banana_2,land
4.159056309624053,3.7776571126847465,5.0250251695404025,0.8659688599163498,4.796849095610269,4.36446739189847,5.733541071108702,0.9366919754984323,primary512:nano_banana_2:claude_monet:named_minus_artist_free,-0.6377927859862167,-0.5868102792137238,-0.7085159015682994,-0.07072311558208247,color,claude_monet,nano_banana_2,water
