painter_id,basis,condition,content_class,image_id,pc1,pc2,route
claude_monet,balanced_joint,original,water,wikidata:Q67158045,-0.7302257472214837,-1.5656539678391828,original
claude_monet,balanced_joint,original,land,wikidata:Q19967292,-1.576478476603905,-0.6051633095974118,original
claude_monet,balanced_joint,original,built,wikidata:Q106925109,-3.2216831107970876,-1.7572357274906107,original
claude_monet,balanced_joint,original,built,wikidata:Q47615867,3.22996117094579,-2.436163350207624,original
claude_monet,balanced_joint,original,water,wikidata:Q117435199,-2.500561791190389,-0.01890498069911497,original
claude_monet,balanced_joint,original,land,wikidata:Q2450237,1.7646181232302267,-1.0830587431595706,original
claude_monet,balanced_joint,original,land,wikidata:Q79790741,1.9221284868984558,-1.2577130854020022,original
claude_monet,balanced_joint,original,water,wikidata:Q105099626,2.4961652450065746,-1.8063317416276021,original
claude_monet,balanced_joint,original,built,wikidata:Q116143411,-6.109779469448737,-7.326966509676926,original
claude_monet,balanced_joint,original,land,wikidata:Q50415977,-1.4469086293842148,0.3937651100914749,original
claude_monet,balanced_joint,original,water,wikidata:Q17493461,-0.2528608330529561,-1.6214618614732481,original
claude_monet,balanced_joint,original,land,wikidata:Q3794124,4.178147638774137,-0.6821097282879843,original
claude_monet,balanced_joint,original,land,wikidata:Q105099583,-0.23307134700345797,-1.5707436115339553,original
claude_monet,balanced_joint,original,land,wikidata:Q63952037,2.1890793315338013,-1.2211351765289982,original
claude_monet,balanced_joint,original,water,wikidata:Q24953805,-3.9377075668722195,-1.4805313953837953,original
claude_monet,balanced_joint,original,land,wikidata:Q92831691,5.127416839730556,-2.3819904378192516,original
claude_monet,balanced_joint,original,land,wikidata:Q105099613,0.20246676721205192,-2.486591993663159,original
claude_monet,balanced_joint,original,water,wikidata:Q59530379,-3.1165816030513196,0.5498718653258611,original
claude_monet,balanced_joint,original,water,wikidata:Q17493907,-4.676886098324818,-1.0784565663146835,original
claude_monet,balanced_joint,original,water,wikidata:Q66126523,-3.475807107223682,4.4692072620999586,original
claude_monet,balanced_joint,original,land,wikidata:Q106879983,-0.8171629318223983,-5.920585602815552,original
claude_monet,balanced_joint,original,water,wikidata:Q79868506,-0.6659560212608061,0.4481333898103394,original
claude_monet,balanced_joint,original,water,wikidata:Q20538824,-2.9380357592382818,-0.29857370614436946,original
claude_monet,balanced_joint,original,water,wikidata:Q105099601,-5.561815724372361,-3.2291527978993773,original
claude_monet,balanced_joint,original,water,wikidata:Q50700359,-2.7798242627325167,-0.12749806816935833,original
claude_monet,balanced_joint,original,water,wikidata:Q68372814,1.2820799534129506,-0.5796196111376255,original
claude_monet,balanced_joint,original,water,wikidata:Q20538849,-3.0460486026539617,0.01190361918816542,original
claude_monet,balanced_joint,original,built,wikidata:Q117435200,-1.1915382947271933,-1.3382842195217872,original
claude_monet,balanced_joint,original,land,wikidata:Q85224931,-2.608722994504667,-1.6085610287440866,original
claude_monet,balanced_joint,original,land,wikidata:Q67220780,2.2254141673492147,-1.1679877142403432,original
claude_monet,balanced_joint,original,water,wikidata:Q30093031,0.39145874301589206,1.801881659981697,original
claude_monet,balanced_joint,original,water,wikidata:Q17492292,-0.4556189384695929,0.30209072125690617,original
claude_monet,balanced_joint,original,water,wikidata:Q67609602,-2.8770121872750005,0.8716989690430179,original
claude_monet,balanced_joint,original,water,wikidata:Q20809479,-1.4264161302024456,-1.6259542403268419,original
claude_monet,balanced_joint,original,water,wikidata:Q92787519,-4.638083283484366,-2.251339411489483,original
claude_monet,balanced_joint,original,water,wikidata:Q87367853,0.8359509903450812,-1.9181059438696084,original
claude_monet,balanced_joint,original,water,wikidata:Q113520917,2.093055654614561,-0.8019016199554467,original
claude_monet,balanced_joint,original,land,wikidata:Q79790733,2.7301470344831085,-2.3156082896862253,original
claude_monet,balanced_joint,artist_free,water,generated:slot0001,3.1998595985877305,2.830909237057714,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0010,-0.7914270508056177,5.032169195784728,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0012,3.6981410102562324,0.09639209262450944,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0030,-2.9419568742195414,1.7250663897355303,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0088,5.21082947431681,2.424024518884242,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0099,6.604130605949803,0.432084192702227,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0110,3.9434539080007056,0.2605171590570778,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0113,8.507983528968184,-0.028482415832164876,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0122,0.20681909441702204,0.8711423669676793,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0147,6.052271651674008,1.177311687918126,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0155,8.548125999685174,-0.44223776025533285,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0164,4.266542236556335,1.2602741607385137,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0167,3.401028079369732,1.2831886865193842,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0178,5.276038134877948,0.20343423074413408,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0186,1.9342013142235819,5.757600761873851,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0208,7.281225505527476,-0.08390568219286804,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0234,5.233351727340737,2.137910442918771,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0238,6.111242834185262,0.18752711034637165,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0259,6.091705119161003,-0.31396270399623843,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0265,3.89151402807152,0.946439506176658,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0291,-5.044215611420098,2.360222633346955,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0292,-0.13411874931989928,-1.457804944350495,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0313,1.5863115993151315,1.103609618116262,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0321,-1.3964457888392985,2.4671551199340835,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0322,4.278618761994759,2.79585416410532,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0368,2.1112695122672416,1.384676439726531,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0374,-0.06103604800000837,0.6808710279694608,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0378,7.389417318715826,0.8543739794500147,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0390,1.990832721254367,2.920651596705041,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0399,8.992229069645528,-0.3750306236034503,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0409,3.3281111523497873,1.2627301057659477,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0462,-0.523480387500639,7.215685182657217,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0471,1.637521770338752,0.8805931643814257,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0473,4.213482500971084,-0.01610330700780556,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0481,3.8793670359779444,0.24311231584907558,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0493,4.3294492201365005,2.0978048007083,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0514,4.873234913962438,2.3327420704985484,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0543,4.573528586498699,0.5876709538667269,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0556,-2.284490726648142,3.962327224188315,nano_banana_2
claude_monet,balanced_joint,artist_free,land,generated:slot0562,1.9733245158666657,-0.46929598550470947,nano_banana_2
claude_monet,balanced_joint,artist_free,water,generated:slot0578,1.926592743850637,3.9920490647932594,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0589,4.887702109857366,0.4553577684308188,nano_banana_2
claude_monet,balanced_joint,artist_free,built,generated:slot0592,4.514392421074316,1.3694751700605754,nano_banana_2
