after,after_distance,alias,before,before_distance,estimate,family,painter_id
style_instruction,0.8194595346421363,gpt-image-1,by_name,0.5948073821162723,0.224652152525864,color,claude_monet
style_aspects,0.9698600827230404,gpt-image-1,style_instruction,0.8194595346421363,0.15040054808090408,color,claude_monet
style_instruction,0.9416340453603085,gpt-image-1,by_name,0.7943690355082116,0.1472650098520969,spatial,claude_monet
style_aspects,0.9925509786851023,gpt-image-1,style_instruction,0.9416340453603085,0.050916933324793856,spatial,claude_monet
style_instruction,1.7233321921887481,gpt-image-1,by_name,1.6772200344842,0.04611215770454802,texture,claude_monet
style_aspects,1.8277656487820566,gpt-image-1,style_instruction,1.7233321921887481,0.1044334565933085,texture,claude_monet
style_instruction,0.8762278618095294,gpt-image-1,by_name,0.752500521923622,0.12372733988590734,color,alfred_sisley
style_aspects,0.8349343985421547,gpt-image-1,style_instruction,0.8762278618095294,-0.04129346326737471,color,alfred_sisley
style_instruction,0.5817114141535393,gpt-image-1,by_name,0.516766553921562,0.06494486023197732,spatial,alfred_sisley
style_aspects,0.6024433534123983,gpt-image-1,style_instruction,0.5817114141535393,0.020731939258858967,spatial,alfred_sisley
style_instruction,1.408914688670019,gpt-image-1,by_name,1.1850752223069283,0.2238394663630907,texture,alfred_sisley
style_aspects,1.4641348320749528,gpt-image-1,style_instruction,1.408914688670019,0.05522014340493375,texture,alfred_sisley
style_instruction,1.0744942826693407,gpt-image-1,by_name,0.9073849265224578,0.16710935614688283,color,camille_pissarro
style_aspects,0.8715874293538928,gpt-image-1,style_instruction,1.0744942826693407,-0.2029068533154479,color,camille_pissarro
style_instruction,0.9018986435482248,gpt-image-1,by_name,0.7152928914442049,0.18660575210401986,spatial,camille_pissarro
style_aspects,0.8794619831193047,gpt-image-1,style_instruction,0.9018986435482248,-0.02243666042892012,spatial,camille_pissarro
style_instruction,1.6359106797035643,gpt-image-1,by_name,1.3729145197474206,0.26299615995614367,texture,camille_pissarro
style_aspects,1.7123014751885266,gpt-image-1,style_instruction,1.6359106797035643,0.0763907954849623,texture,camille_pissarro
style_instruction,0.87752373157825,gpt-image-1,by_name,0.7104584726692591,0.16706525890899093,color,paul_cezanne
style_aspects,0.7591406956931188,gpt-image-1,style_instruction,0.87752373157825,-0.11838303588513122,color,paul_cezanne
style_instruction,0.7353433759263748,gpt-image-1,by_name,0.6227900976896481,0.11255327823672667,spatial,paul_cezanne
style_aspects,0.6450429992718774,gpt-image-1,style_instruction,0.7353433759263748,-0.09030037665449742,spatial,paul_cezanne
style_instruction,2.2360777656585147,gpt-image-1,by_name,2.0646353224533844,0.17144244320513025,texture,paul_cezanne
style_aspects,2.031354877308557,gpt-image-1,style_instruction,2.2360777656585147,-0.2047228883499579,texture,paul_cezanne
style_instruction,0.8584413967134195,gpt-image-2,by_name,0.5003885222942783,0.35805287441914113,color,claude_monet
style_aspects,0.8952636009061483,gpt-image-2,style_instruction,0.8584413967134195,0.03682220419272886,color,claude_monet
style_instruction,1.0235893715638826,gpt-image-2,by_name,0.8220854827202841,0.2015038888435985,spatial,claude_monet
style_aspects,0.9604716395387869,gpt-image-2,style_instruction,1.0235893715638826,-0.06311773202509574,spatial,claude_monet
style_instruction,1.857634063975959,gpt-image-2,by_name,1.6419154037220098,0.21571866025394915,texture,claude_monet
style_aspects,1.8318115506586814,gpt-image-2,style_instruction,1.857634063975959,-0.025822513317277584,texture,claude_monet
style_instruction,0.7951407647818973,gpt-image-2,by_name,0.7529104736001548,0.042230291181742485,color,alfred_sisley
style_aspects,0.8004376585915174,gpt-image-2,style_instruction,0.7951407647818973,0.005296893809620062,color,alfred_sisley
style_instruction,0.666875113973528,gpt-image-2,by_name,0.5664964262778698,0.10037868769565828,spatial,alfred_sisley
style_aspects,0.6866485707986825,gpt-image-2,style_instruction,0.666875113973528,0.019773456825154412,spatial,alfred_sisley
style_instruction,1.4363120458929037,gpt-image-2,by_name,1.3201149763709745,0.11619706952192921,texture,alfred_sisley
style_aspects,1.4708727533466273,gpt-image-2,style_instruction,1.4363120458929037,0.03456070745372353,texture,alfred_sisley
style_instruction,1.040401628244715,gpt-image-2,by_name,1.009620987710992,0.03078064053372298,color,camille_pissarro
style_aspects,0.8908976013616612,gpt-image-2,style_instruction,1.040401628244715,-0.14950402688305386,color,camille_pissarro
style_instruction,0.8961626952765205,gpt-image-2,by_name,0.7653347704961937,0.1308279247803268,spatial,camille_pissarro
style_aspects,0.8946137335203452,gpt-image-2,style_instruction,0.8961626952765205,-0.001548961756175249,spatial,camille_pissarro
style_instruction,1.6312055876515055,gpt-image-2,by_name,1.337881042027714,0.2933245456237914,texture,camille_pissarro
style_aspects,1.7308288939712373,gpt-image-2,style_instruction,1.6312055876515055,0.09962330631973182,texture,camille_pissarro
style_instruction,0.8319554772643731,gpt-image-2,by_name,0.8232198333655629,0.008735643898810208,color,paul_cezanne
style_aspects,0.7813665578564586,gpt-image-2,style_instruction,0.8319554772643731,-0.050588919407914545,color,paul_cezanne
style_instruction,0.7390550771242761,gpt-image-2,by_name,0.6341135030734515,0.1049415740508246,spatial,paul_cezanne
style_aspects,0.6886057819877818,gpt-image-2,style_instruction,0.7390550771242761,-0.05044929513649432,spatial,paul_cezanne
style_instruction,2.2289329030682152,gpt-image-2,by_name,2.119113419741493,0.10981948332672209,texture,paul_cezanne
style_aspects,1.936714060597992,gpt-image-2,style_instruction,2.2289329030682152,-0.29221884247022323,texture,paul_cezanne
