alias,condition,distance,family,finite_distance,generated_count,method_id,painter_id,reference_count
gpt-image-1,claude_monet,0.5948073821162723,color,0.5948073821162723,64,by_name,claude_monet,297
gpt-image-1,claude_monet,0.7943690355082116,spatial,0.7943690355082116,64,by_name,claude_monet,297
gpt-image-1,claude_monet,1.6772200344842,texture,1.6772200344842,64,by_name,claude_monet,297
gpt-image-1,alfred_sisley,0.752500521923622,color,0.752500521923622,64,by_name,alfred_sisley,106
gpt-image-1,alfred_sisley,0.516766553921562,spatial,0.516766553921562,64,by_name,alfred_sisley,106
gpt-image-1,alfred_sisley,1.1850752223069283,texture,1.1850752223069283,64,by_name,alfred_sisley,106
gpt-image-1,camille_pissarro,0.9073849265224578,color,0.9073849265224578,64,by_name,camille_pissarro,141
gpt-image-1,camille_pissarro,0.7152928914442049,spatial,0.7152928914442049,64,by_name,camille_pissarro,141
gpt-image-1,camille_pissarro,1.3729145197474206,texture,1.3729145197474206,64,by_name,camille_pissarro,141
gpt-image-1,paul_cezanne,0.7104584726692591,color,0.7104584726692591,64,by_name,paul_cezanne,105
gpt-image-1,paul_cezanne,0.6227900976896481,spatial,0.6227900976896481,64,by_name,paul_cezanne,105
gpt-image-1,paul_cezanne,2.0646353224533844,texture,2.0646353224533844,64,by_name,paul_cezanne,105
gpt-image-1,claude_monet,0.8194595346421363,color,0.8194595346421363,64,style_instruction,claude_monet,297
gpt-image-1,claude_monet,0.9416340453603085,spatial,0.9416340453603085,64,style_instruction,claude_monet,297
gpt-image-1,claude_monet,1.7233321921887481,texture,1.7233321921887481,64,style_instruction,claude_monet,297
gpt-image-1,alfred_sisley,0.8762278618095294,color,0.8762278618095294,64,style_instruction,alfred_sisley,106
gpt-image-1,alfred_sisley,0.5817114141535393,spatial,0.5817114141535393,64,style_instruction,alfred_sisley,106
gpt-image-1,alfred_sisley,1.408914688670019,texture,1.408914688670019,64,style_instruction,alfred_sisley,106
gpt-image-1,camille_pissarro,1.0744942826693407,color,1.0744942826693407,64,style_instruction,camille_pissarro,141
gpt-image-1,camille_pissarro,0.9018986435482248,spatial,0.9018986435482248,64,style_instruction,camille_pissarro,141
gpt-image-1,camille_pissarro,1.6359106797035643,texture,1.6359106797035643,64,style_instruction,camille_pissarro,141
gpt-image-1,paul_cezanne,0.87752373157825,color,0.87752373157825,64,style_instruction,paul_cezanne,105
gpt-image-1,paul_cezanne,0.7353433759263748,spatial,0.7353433759263748,64,style_instruction,paul_cezanne,105
gpt-image-1,paul_cezanne,2.2360777656585147,texture,2.2360777656585147,64,style_instruction,paul_cezanne,105
gpt-image-1,claude_monet,0.9698600827230404,color,0.9698600827230404,64,style_aspects,claude_monet,297
gpt-image-1,claude_monet,0.9925509786851023,spatial,0.9925509786851023,64,style_aspects,claude_monet,297
gpt-image-1,claude_monet,1.8277656487820566,texture,1.8277656487820566,64,style_aspects,claude_monet,297
gpt-image-1,alfred_sisley,0.8349343985421547,color,0.8349343985421547,64,style_aspects,alfred_sisley,106
gpt-image-1,alfred_sisley,0.6024433534123983,spatial,0.6024433534123983,64,style_aspects,alfred_sisley,106
gpt-image-1,alfred_sisley,1.4641348320749528,texture,1.4641348320749528,64,style_aspects,alfred_sisley,106
gpt-image-1,camille_pissarro,0.8715874293538928,color,0.8715874293538928,64,style_aspects,camille_pissarro,141
gpt-image-1,camille_pissarro,0.8794619831193047,spatial,0.8794619831193047,64,style_aspects,camille_pissarro,141
gpt-image-1,camille_pissarro,1.7123014751885266,texture,1.7123014751885266,64,style_aspects,camille_pissarro,141
gpt-image-1,paul_cezanne,0.7591406956931188,color,0.7591406956931188,64,style_aspects,paul_cezanne,105
gpt-image-1,paul_cezanne,0.6450429992718774,spatial,0.6450429992718774,64,style_aspects,paul_cezanne,105
gpt-image-1,paul_cezanne,2.031354877308557,texture,2.031354877308557,64,style_aspects,paul_cezanne,105
gpt-image-2,claude_monet,0.5003885222942783,color,0.5003885222942783,64,by_name,claude_monet,297
gpt-image-2,claude_monet,0.8220854827202841,spatial,0.8220854827202841,64,by_name,claude_monet,297
gpt-image-2,claude_monet,1.6419154037220098,texture,1.6419154037220098,64,by_name,claude_monet,297
gpt-image-2,alfred_sisley,0.7529104736001548,color,0.7529104736001548,64,by_name,alfred_sisley,106
gpt-image-2,alfred_sisley,0.5664964262778698,spatial,0.5664964262778698,64,by_name,alfred_sisley,106
gpt-image-2,alfred_sisley,1.3201149763709745,texture,1.3201149763709745,64,by_name,alfred_sisley,106
gpt-image-2,camille_pissarro,1.009620987710992,color,1.009620987710992,64,by_name,camille_pissarro,141
gpt-image-2,camille_pissarro,0.7653347704961937,spatial,0.7653347704961937,64,by_name,camille_pissarro,141
gpt-image-2,camille_pissarro,1.337881042027714,texture,1.337881042027714,64,by_name,camille_pissarro,141
gpt-image-2,paul_cezanne,0.8232198333655629,color,0.8232198333655629,64,by_name,paul_cezanne,105
gpt-image-2,paul_cezanne,0.6341135030734515,spatial,0.6341135030734515,64,by_name,paul_cezanne,105
gpt-image-2,paul_cezanne,2.119113419741493,texture,2.119113419741493,64,by_name,paul_cezanne,105
