alias,change,condition,distance,family,generated_count,method_id,painter_id,previous_distance,reference_count
gpt-image-1,-0.00011560798846188547,camille_pissarro,1.4355168928753952,color,64,by_name,claude_monet,1.435632500863857,297
gpt-image-1,0.005418156261390639,camille_pissarro,0.9149206082127925,spatial,64,by_name,claude_monet,0.9095024519514019,297
gpt-image-1,0.00706901916441649,camille_pissarro,1.5485231771488996,texture,64,by_name,claude_monet,1.5414541579844832,297
gpt-image-1,0.00034026231183448274,camille_pissarro,1.3567626890668638,color,64,by_name,alfred_sisley,1.3564224267550293,106
gpt-image-1,0.005910112599010642,camille_pissarro,0.8431802307148581,spatial,64,by_name,alfred_sisley,0.8372701181158475,106
gpt-image-1,0.009398992661381778,camille_pissarro,1.4069185392016432,texture,64,by_name,alfred_sisley,1.3975195465402614,106
gpt-image-1,0.0005730219834192418,camille_pissarro,0.9073849265224578,color,64,by_name,camille_pissarro,0.9068119045390386,141
gpt-image-1,0.005527720112123102,camille_pissarro,0.7152928914442049,spatial,64,by_name,camille_pissarro,0.7097651713320818,141
gpt-image-1,0.007891901489579078,camille_pissarro,1.3729145197474206,texture,64,by_name,camille_pissarro,1.3650226182578415,141
gpt-image-1,-0.0015788058110195458,camille_pissarro,2.2824427606889466,color,64,by_name,paul_cezanne,2.284021566499966,105
gpt-image-1,0.006108311013060419,camille_pissarro,1.5661393680912288,spatial,64,by_name,paul_cezanne,1.5600310570781684,105
gpt-image-1,0.011403071321444358,camille_pissarro,2.571160578695692,texture,64,by_name,paul_cezanne,2.559757507374248,105
gpt-image-1,-0.00024609936447550496,paul_cezanne,0.7911837718994865,color,64,by_name,claude_monet,0.791429871263962,297
gpt-image-1,0.007059229428487246,paul_cezanne,0.9810809518606476,spatial,64,by_name,claude_monet,0.9740217224321603,297
gpt-image-1,-0.0015944077523166733,paul_cezanne,1.695279342339131,texture,64,by_name,claude_monet,1.6968737500914477,297
gpt-image-1,0.00020151037114857218,paul_cezanne,0.9242452297794472,color,64,by_name,alfred_sisley,0.9240437194082987,106
gpt-image-1,0.008625631413515134,paul_cezanne,1.213963685660656,spatial,64,by_name,alfred_sisley,1.2053380542471408,106
gpt-image-1,0.003930657963068018,paul_cezanne,2.0005247035723173,texture,64,by_name,alfred_sisley,1.9965940456092492,106
gpt-image-1,0.004843648084155383,paul_cezanne,1.0124596869808788,color,64,by_name,camille_pissarro,1.0076160388967235,141
gpt-image-1,0.007817853409488595,paul_cezanne,1.2115507606850353,spatial,64,by_name,camille_pissarro,1.2037329072755467,141
gpt-image-1,0.002690204615832581,paul_cezanne,2.244823168068466,texture,64,by_name,camille_pissarro,2.2421329634526335,141
gpt-image-1,-0.0012802445811566088,paul_cezanne,0.7104584726692591,color,64,by_name,paul_cezanne,0.7117387172504157,105
gpt-image-1,-0.0019493767775462523,paul_cezanne,0.6227900976896481,spatial,64,by_name,paul_cezanne,0.6247394744671944,105
gpt-image-1,-0.0022066487064642537,paul_cezanne,2.0646353224533844,texture,64,by_name,paul_cezanne,2.0668419711598487,105
