alias,condition,distance,family,generated_count,method_id,painter_id,reference_count
gpt-image-1,claude_monet,0.5948073821162723,color,64,by_name,claude_monet,297
gpt-image-1,claude_monet,0.7943690355082116,spatial,64,by_name,claude_monet,297
gpt-image-1,claude_monet,1.6772200344842,texture,64,by_name,claude_monet,297
gpt-image-1,claude_monet,0.7366629214008067,color,64,by_name,alfred_sisley,106
gpt-image-1,claude_monet,0.7384883945802483,spatial,64,by_name,alfred_sisley,106
gpt-image-1,claude_monet,1.4982185265384755,texture,64,by_name,alfred_sisley,106
gpt-image-1,claude_monet,0.7994679718394702,color,64,by_name,camille_pissarro,141
gpt-image-1,claude_monet,0.7264448763406568,spatial,64,by_name,camille_pissarro,141
gpt-image-1,claude_monet,1.6313924114617775,texture,64,by_name,camille_pissarro,141
gpt-image-1,claude_monet,1.761722353781579,color,64,by_name,paul_cezanne,105
gpt-image-1,claude_monet,1.5935803150093353,spatial,64,by_name,paul_cezanne,105
gpt-image-1,claude_monet,2.7154209555264406,texture,64,by_name,paul_cezanne,105
gpt-image-1,alfred_sisley,0.8955300804389918,color,64,by_name,claude_monet,297
gpt-image-1,alfred_sisley,0.54789970529739,spatial,64,by_name,claude_monet,297
gpt-image-1,alfred_sisley,1.4606371600254269,texture,64,by_name,claude_monet,297
gpt-image-1,alfred_sisley,0.752500521923622,color,64,by_name,alfred_sisley,106
gpt-image-1,alfred_sisley,0.516766553921562,spatial,64,by_name,alfred_sisley,106
gpt-image-1,alfred_sisley,1.1850752223069283,texture,64,by_name,alfred_sisley,106
gpt-image-1,alfred_sisley,0.6666260499540697,color,64,by_name,camille_pissarro,141
gpt-image-1,alfred_sisley,0.6631564353938826,spatial,64,by_name,camille_pissarro,141
gpt-image-1,alfred_sisley,1.3979557016907855,texture,64,by_name,camille_pissarro,141
gpt-image-1,alfred_sisley,2.1256729889172443,color,64,by_name,paul_cezanne,105
gpt-image-1,alfred_sisley,1.3276699431051355,spatial,64,by_name,paul_cezanne,105
gpt-image-1,alfred_sisley,2.50587949307772,texture,64,by_name,paul_cezanne,105
gpt-image-1,camille_pissarro,1.4355168928753952,color,64,by_name,claude_monet,297
gpt-image-1,camille_pissarro,0.9149206082127925,spatial,64,by_name,claude_monet,297
gpt-image-1,camille_pissarro,1.5485231771488996,texture,64,by_name,claude_monet,297
gpt-image-1,camille_pissarro,1.3567626890668638,color,64,by_name,alfred_sisley,106
gpt-image-1,camille_pissarro,0.8431802307148581,spatial,64,by_name,alfred_sisley,106
gpt-image-1,camille_pissarro,1.4069185392016432,texture,64,by_name,alfred_sisley,106
gpt-image-1,camille_pissarro,0.9073849265224578,color,64,by_name,camille_pissarro,141
gpt-image-1,camille_pissarro,0.7152928914442049,spatial,64,by_name,camille_pissarro,141
